"Staining_condition","Vimentin","aSMA","PD1","Mast Cell Tryptase","Ki67","IDO","ICOS","HLADR","HLA1 ABC","Granzyme B","FOXP3","CD68","CD45","CD31","CD20","CD14","CD11c","CD8","CD4","CD3e","Calprotein"
"Stanford_MIBI_Slide2",0.117506541934876,0.0738794369654047,0.344278047392279,0.183145912210399,0.151453420662295,0.144013838090532,0.0812463677261783,0.242010303116136,0.203150372335525,0.47915891447771,0.284479156127333,0.180794849964045,0.0694051699846688,0.156824041234519,0.159926154668199,0.237419432990702,0.391728937387242,0.328769210222924,0.127469249112732,0.197630552809224,0.587582243758376
"Stanford_MIBI_Slide3",0.0519410673474049,0.0648894349229754,0.287933767087286,0.0811661007538514,0.119299093850917,0.0528909321341664,0.0874041600584081,0.176174022408394,0.126123608817351,0.408510078935899,0.238767050940489,0.106588801645928,0.0450122152506957,0.113427006616654,0.13728210774893,0.162645600641865,0.34560624613761,0.261764712901867,0.116557671641417,0.134933627199214,0.52707424470867
"Stanford_MIBI_Slide4",0.033496768262034,0.0745579225119914,0.325698662253595,0.0684865724958544,0.134025065588053,0.0639819425815747,0.103275318561958,0.136108190738702,0.0915219197307894,0.479734405674159,0.319057596354048,0.140427525763388,0.0382026668800863,0.130558058866163,0.13084629379731,0.126404742663357,0.333002423844534,0.320684561384718,0.147835197244727,0.163938349276007,0.550711942314314
"Stanford_MIBI_Slide5",0.0488678085754822,0.107084523997229,0.503803870770647,0.169748805867789,0.178222557683157,0.111627523251474,0.177067036485352,0.238021723215665,0.101769909383577,0.77727740421625,NA,0.222302425181427,0.0625725201928222,0.206850043170082,0.131142773754886,0.248550063409652,0.44288095463729,0.530260206862118,0.224410284238173,0.290852003158319,0.7315829734032
