filename,sample_name
CCPA-250916-44_Stanford_MIBI_Slide5_Liver1_pyramid,Stanford_MIBI_Liver_Citra_20min
CCPA-250916-41_Stanford_MIBI_Slide4_Liver1_pyramid,Stanford_MIBI_Liver_Tris_10min
CCPA-250916-42_Stanford_MIBI_Slide2_Liver1_pyramid,Stanford_MIBI_Liver_Tris_20min
CCPA-250916-43_Stanford_MIBI_Slide3_Liver1_pyramid,Stanford_MIBI_Liver_Tris_40min
