"Staining_condition","CD31","CD4","CD68","aSMA","HLAABC","Vimentin","CD163","CD8a","PDL1","CD3e","CD45RO","PD1"
"Stanford_Slide13",1.14582175626179,0.274679925954832,0.866834873528309,0.505494043373357,0.507983179926383,0.875524377674766,0.569698202056696,0.730696930641866,0.475475004965913,0.736272186918759,0.625744258784634,1.402748909258
"Stanford_Slide14",-0.399722860617266,-0.052867968362122,-0.210544213070083,0.249563519925704,-0.0934280390710656,0.0361110076472155,-0.361748126930948,-0.0261600276756314,-0.274313977398951,-0.187101865915717,-0.45333751475263,-0.4521522553729
"Stanford_Slide15",-0.278458497119666,-0.0482131482435171,-0.029851421500349,0.00250729201142878,0.390645340750446,0.112191242953328,0.0806632671063826,0.142621922519238,-0.452671970346782,-0.0796920782467914,-0.129213267319462,-0.329867079559549
"Stanford_Slide16",0.208899296900173,0.415292401251418,0.129235202209516,0.282332557345233,1.24556818641913,0.26898900438283,0.376871037180065,-2.54328250538514,0.20088202380342,0.467522613614015,0.33159113686669,0.0423045266613231
"Stanford_Slide21",0.581940957102811,-0.262354266883859,0.487398282199418,-0.18700585712118,-1.13974787284082,-0.75413880581759,0.309415932231567,0.433473041871099,0.587018252154648,-0.0377165732603318,0.146947856520931,1.50717817276672
"Stanford_Slide22",-1.53708168278639,-0.792698647213801,-1.25718109318411,-0.951825085664023,-1.30412179112792,-0.792232156862806,-0.992456279159312,-0.375302391074226,-0.829870556547399,-0.504290686338995,-1.06738441172503,-0.856533885848808
"Stanford_Slide23",2.19080954351977,2.20937142239179,1.45040658906694,2.15819252209106,0.562371629949346,1.81343839021828,1.99194471487565,1.40248168154039,2.16836310376102,1.8826270978377,1.77118596814781,1.67085234174835
"Stanford_Slide24",-0.479240291031096,-0.984831971776011,0.0450325309205636,-0.937450718498905,0.716092367493902,-0.679421322487166,-0.630201458333365,-0.335784145503605,-1.64932180651134,-0.592173415682589,-0.98909480707865,-1.32283035815713
"Stanford_Slide5",-0.259495135367925,0.281658811882748,0.650220132226249,0.317354157947271,-0.0409603092707694,0.952173783383518,0.444826308595493,0.690542503471765,0.331262238459286,0.776516483533938,0.715995549041094,-0.219366092299631
"Stanford_Slide6",-1.01541507991707,-0.344443174803836,-1.92814824774223,-0.0130513538816814,-0.966633575601657,-0.563934397765393,-1.02326321134759,-0.217046943842907,-0.883932876122844,-1.06603827661432,-0.448128211755761,-0.654470640546624
"Stanford_Slide7",0.45231190427649,1.02308783323283,0.923403262948929,0.513146822947864,1.52002650847947,0.624860233529871,0.923305063945508,0.769843656543868,0.327110563783032,0.593076125500718,1.18995246875195,0.0440008053916428
"Stanford_Slide8",-0.610369911221611,-1.71868121743047,-1.12680589760315,-1.93925790047613,-1.39779562510643,-1.89356135685686,-1.68905545022014,-0.672083723106692,NA,-1.98900161134638,-1.69425902548158,-0.831864444041403
