"Staining_condition","CD31","CD4","CD68","aSMA","HLAABC","Vimentin","CD163","CD8a","PDL1","CD3e","CD45RO","PD1"
"Stanford_Slide13",0.315341568802003,0.570963249539462,0.856044987229164,0.412083498777677,0.561325269074751,0.533818627154792,0.520254986397547,0.95339650411875,0.509589489820023,0.584901922054504,0.593481496847566,0.492446574110999
"Stanford_Slide14",0.197036795567583,0.533713770672348,0.793214357213288,0.389301268809686,0.52282850586677,0.438726793748982,0.436519634694761,0.9414661396742,0.416357591945827,0.474662714878155,0.402610670312516,0.361851390215218
"Stanford_Slide15",0.206319059481756,0.534243127223395,0.803752005544201,0.367309004176512,0.553814389883601,0.447345442581043,0.476291624259956,0.94412665584619,0.394179813164507,0.48748608781056,0.459942620980927,0.37046093520208
"Stanford_Slide16",0.243624196244466,0.586954014608904,0.813029624647007,0.392218278224056,0.608538614027049,0.465108069602064,0.502920170674622,0.901788644236489,0.475445450125059,0.552816615131322,0.541450917807854,0.396663851175166
"Stanford_Slide21",0.272178926101688,0.50989052043895,0.833916991261151,0.350439065853659,0.455852823325306,0.349204388824099,0.496856077917769,0.948711352881527,0.52345924367751,0.492497433295447,0.508790728007585,0.499798965242165
"Stanford_Slide22",0.109976884081758,0.44957857177389,0.732176552235059,0.282356965626294,0.445331130995697,0.344889033933646,0.379820104829142,0.935962595586244,0.34727736341654,0.436794373244203,0.293996437702315,0.333380712422212
"Stanford_Slide23",0.395330876036585,0.790980692060945,0.890077742275954,0.559202163260063,0.564806712745312,0.640068975569941,0.648112392941188,0.963985872186829,0.720090276109922,0.72176222924474,0.796090243631593,0.511322521647608
"Stanford_Slide24",0.190950079292586,0.42772874053662,0.808119090414523,0.283636532182048,0.574646487339597,0.357668660100985,0.412386162457882,0.936585523164151,0.245383367843873,0.426302284607326,0.307844509196445,0.300550891237008
"Stanford_Slide5",0.207770623019489,0.571756904050446,0.843412441418659,0.395335804605882,0.526187002859143,0.542501753703123,0.50902922749834,0.952763548386578,0.491657471298366,0.589706583110994,0.609445382800933,0.378240808883245
"Stanford_Slide6",0.149908212160172,0.500555186297462,0.693047067019276,0.365924016391731,0.466933993576572,0.370751443623758,0.377050616967749,0.938457182099661,0.340555028498251,0.369728801285492,0.403532105548536,0.347607069697732
"Stanford_Slide7",0.262256381303092,0.656073870031367,0.859343944476889,0.412764728127784,0.626106887948559,0.505422471116613,0.552043608053246,0.954013575418272,0.491141234705768,0.567806119727113,0.693280131219185,0.396783278472398
"Stanford_Slide8",0.180912672535426,0.344273763594525,0.739779777301046,0.194458417372076,0.439335001739137,0.220126412142966,0.317197090738738,0.931284420387383,NA,0.25953862866653,0.183113204757578,0.335117576008734
