"Staining_condition","CD31","aSMA","CD68","HLAABC","Vimentin","CD163","CD8a","CD4","PDL1","CD3e","CD45RO","PD1"
"Stanford_Slide13",0.586507766527427,0.397305127743554,0.0430152858530345,0.318459366838698,0.370146878256137,0.294944543486181,0.0139699588289749,0.197163351513705,0.212691672991343,0.354832567759701,0.19409026009096,0.203323181198757
"Stanford_Slide14",0.48151287161476,0.230599255478129,0.0698911980697869,0.195809506084175,0.236055022500627,0.310943526911748,0.0137443419705391,0.253763918408199,0.239354901179053,0.338969825680801,0.243229084634957,0.170163055708378
"Stanford_Slide15",0.499737979305702,0.20043738833501,0.0624414894754841,0.216433867019915,0.276897891091014,0.294482551360333,0.0153051794896117,0.249230350271719,0.277375647787197,0.37104720922272,0.338620037999469,0.151842241048591
"Stanford_Slide16",0.444689722765274,0.216911318968222,0.0764482560344234,0.189286354505444,0.248904352487512,0.304346995744411,0.208243669946229,0.242135914508049,0.255102159251143,0.359278495553192,0.35327342789311,0.218159059966518
"Stanford_Slide21",0.721712559087626,0.329722831274679,0.0521520770801502,0.240119428871203,0.35008616114057,0.296331173391684,0.0143749181060819,0.242191908410534,0.195598003479024,0.354211766123903,0.156777345384617,0.185467408883472
"Stanford_Slide22",1.04728195200034,0.356268912273662,0.153781348058734,0.225275791624432,0.307573526672582,0.413276248369504,0.0135234353139922,0.286227091025694,0.334777692576336,0.362555798792964,0.337830151349186,0.192946488326043
"Stanford_Slide23",0.254716062275402,0.156680019726572,0.043512021279671,0.273964005388133,0.183131460065944,0.225427000141985,0.0144580908940626,0.172092788767278,0.140710410238372,0.260959264982259,0.116018290933737,0.218319930107551
"Stanford_Slide24",0.431143529823272,0.451441969566446,0.0487637336043083,0.185302276058587,0.310176950548545,0.338574747352481,0.0114926845755522,0.331619682741898,0.456127174497489,0.40708978592466,0.254193649993276,0.196522926823828
"Stanford_Slide5",0.810475932276391,0.394160397946867,0.05097836155164,0.224196208402982,0.255426415240986,0.289395510846982,0.0137542880595673,0.192164959715433,0.195803213646839,0.302962277542337,0.137775077005791,0.299028776333214
"Stanford_Slide6",0.487737588149586,0.224731466054562,0.214572981245918,0.23696383516,0.282283015054313,0.422441791936375,0.0121377018366657,0.25136920521362,0.281420386746789,0.385692419484163,0.299065912685759,0.154413852166336
"Stanford_Slide7",0.338632762919862,0.213781933866004,0.0363190899530533,0.310309774345303,0.253963059437084,0.242435562624552,0.013798719498695,0.198798484096194,0.180508675457333,0.299003942972661,0.136751415624581,0.228466205293085
"Stanford_Slide8",0.229183069586011,0.293461503582434,0.091003309444079,0.287053565940438,0.462955614342053,0.482270180898248,0.0101240118886002,0.405553161314901,NA,0.48701668872166,0.565176150093644,0.0780654832935169
