"Staining_condition","CD31","CD4","CD56","CD68","CD8","Vimentin","SMA","MastCellTryptase_MastCellChymase","IDO","CD163"
"Stanford_MIBI_Colon_1",0.213961745561089,0.243394997374382,0.47423930856622,0.217830494099115,0.0661455023476773,0.472475890645879,0.48010349229504,0.345291180488474,0.440637490297694,0.29293071631229
"Stanford_MIBI_Colon_2",0.182488771219597,0.255503165681161,0.471874442184927,0.245458520374373,0.0574640538888894,0.510511895216114,0.440788085349401,NA,0.436110794680157,0.324452077776091
"Stanford_MIBI_Colon_24",0.170624808066334,NA,0.346512895859428,0.165316037664612,NA,0.368664816910881,0.359953914053652,0.217323060601054,0.256495273935712,0.244358070239037
"Stanford_MIBI_Colon_3",0.180267677147104,NA,0.454097163628226,0.173702793688318,0.0523796556652006,0.467856236138667,0.461484225517804,0.360498131391882,0.485963386896041,0.308876810937242
