"Staining_condition","CD11c","CD138","CD15","CD20","CD3","CD31","CD45","CD45RA","CD68","CD8","Granzyme B","H3K27ac","H3K27me3","Pax5","Tox/Tox2","CD11b","Ki67","HLADRA","pS6","FOXP3","PD1","IDO1","NaKATPase","CK"
"BIDMC_tonsil_30",0.882889201187983,0.71007641151387,0.824953221002765,0.883325323869925,0.849249973734196,0.84712560304565,0.831164078764859,0.77527919741681,0.748363443493735,0.834589294964369,0.783477664185503,0.857281745232535,0.756058592589162,0.783842731063894,0.859658952169702,0.90676253023144,0.796233191425532,0.765736196566476,0.789907334855595,0.929838342338729,0.894491207520191,0.817235209541492,0.848462581426468,0.523975769846535
"BIDMC_tonsil_31",0.895849140060237,0.774356515025856,0.81674102131426,0.892581806965235,0.866776734855212,0.850859116633518,0.862483939012365,0.817403110010141,0.765352334966969,0.84185271749937,0.813069135455643,0.877523395163787,0.777345996410998,0.799497372562669,0.878996316616746,0.910224259762254,0.810194832025589,0.785711071338382,0.834596619388765,0.946432996240232,0.902433631862739,0.85171279859691,0.882903875068909,0.542099450154827
"BIDMC_tonsil_32",0.875194468522044,0.685600059056732,0.807474788161288,0.873564981635722,0.825631263190278,0.821066479504193,0.805753245952904,0.76173287040184,0.751204272646742,0.818350979286212,0.778687681951444,0.840600727899378,0.719051960365603,0.782054496805791,0.85404262859952,0.897641704966741,0.790040016444184,0.745461046387969,0.783328186786687,0.931333161232521,0.889478879592329,0.81945974694928,0.834413516655801,0.485508721541476
"BIDMC_tonsil_33",0.735973234232926,0.504026397710407,0.790937152537947,0.792250195860495,0.755955963328213,0.714284596827454,0.716496599026081,0.652894428444521,0.638820046168324,0.738017041597157,0.592244088721219,0.671830500273887,0.640200225465153,0.67810343539448,0.778852840531741,0.826571985589258,0.72209019673672,0.655852302371518,0.704809638216329,0.785566715827733,0.789389781045379,0.516624679830065,0.59147887178216,0.430757912800935
