"Staining_condition","Total_Markers","Working_Markers","Excluded_Markers","NonWorking_Markers","Total_Score","Average_Score","Average_Rank","Penalty_Count"
"Run1",24,24,0,0,27,1.125,1.125,0
"Run2",24,24,0,0,45,1.875,1.875,0
