"Staining_condition","CD3","CD45","CD15","CD8","CD11b","ToxTox2","CD20","CD11c","H3K27me3","Ki67","HLADRA","pS6","CD68","FoxP3","PD1","Pax5","H3K27ac","GranzymeB","CD31","IDO1","CD138","NAKATPase","CD45RA","Cytokeratin","Total_Z_Rank"
"Run1",1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27
"Run2",2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,45
