"Staining_condition","Total_Markers","Working_Markers","Excluded_Markers","NonWorking_Markers","Total_Score","Average_Score","Average_Rank","Penalty_Count"
"Novartis_LuCa_Tris_20min",5,5,0,0,7,1.4,1.4,0
"Novartis_LuCa_Tris_40min",5,5,0,0,10,2,2,0
"Novartis_LuCa_Tris_10min",5,5,0,0,13,2.6,2.6,0
"Novartis_LuCa_Citra_20min",5,5,0,0,20,4,4,0
