"Staining_condition","CD11c","CD15","CD3","Ki67","ECadherin"
"Novartis_Lung_Cancer_slide1",0.662030255618556,0.494151972118225,0.502442766431069,0.562352559512883,0.469920231638165
"Novartis_Lung_Cancer_slide2",0.792547399335018,0.585977827013849,0.649142777545917,0.638146705060235,0.556098126046104
"Novartis_Lung_Cancer_slide24",0.586010999678856,0.398822776222928,0.320811399594489,0.23631615682044,0.281583664007508
"Novartis_Lung_Cancer_slide3",0.611978438504037,0.490596826865317,0.377591716117136,0.401325759782374,0.360164636007953
