"Staining_condition","CD3","CD45","CD15","CD8","CD11b","Tox/Tox2","CD20","CD11c","H3K27me3","Ki67","HLADRA","pS6","CD68","FOXP3","PD1","Pax5","H3K27ac","Granzyme B","CD31","IDO1","CD138","NaKATPase","CD45RA","CK"
"BIDMC_tonsil_30",0.0980404115392483,0.113147368766521,0.0648749276146172,0.100106209977905,0.0427972461111516,0.0775160367018244,0.080044694045256,0.0640718335578882,0.146255440574608,0.130795497733298,0.137256251399747,0.0989192273706537,0.0841711261964273,0.0240505328098687,0.0629750411593561,0.16080287052825,0.0722246696269154,0.0585342785854271,0.0660034791852302,0.0410863168187917,0.102978639258982,0.0610288796949885,0.145032032563277,0.181332694457055
"BIDMC_tonsil_31",0.114800186501465,0.112542943169417,0.0799137080464638,0.114715965331176,0.0610850691044822,0.0905647274684016,0.0933957747826559,0.0775472796649521,0.144817901389258,0.137866446007308,0.138851940186003,0.106286773147355,0.093253523145483,0.0342840427301705,0.0825935807716555,0.160847261044016,0.0832607458746206,0.0616260236383704,0.0897079650024477,0.041973679806798,0.105104748661795,0.0717249005364049,0.13683897579388,0.213511696187488
"BIDMC_tonsil_32",0.121139057227718,0.121292255795113,0.0709582605880615,0.116018725900888,0.0509630408516548,0.085775477257973,0.0891163978827556,0.0706631621962956,0.160433421777266,0.138817392559652,0.145647573965913,0.103631658419944,0.0834863292752583,0.02588598102226,0.0679869902409344,0.166886863364784,0.0824800886068758,0.0622893768267781,0.0780463789795077,0.0414814043840002,0.117004491268383,0.0690964363689948,0.155666318717236,0.203208604263013
"BIDMC_tonsil_33",0.15628870006199,0.184551951278635,0.0636264091676361,0.164462170549953,0.0946246113381273,0.130532177121068,0.121930908096539,0.160809349910201,0.208386422889685,0.190739833029185,0.172659192572835,0.139644350078203,0.149066960951057,0.106353769733842,0.117196412862121,0.207478076443184,0.145820033836132,0.179941593413575,0.129738626304911,0.210452292381364,0.20788996404032,0.185816948131769,0.229054180219588,0.221635994686565
