"Staining_condition","CD31","CD4","CD68","PanCK","CD163","CD8a","PDL1","CD3e","CD45RO","PD1","SMA","HLAABC","Vimentin"
"Stanford_Orion_TMA_CA20min",0.199040569160749,NA,0.234828590917735,0.346802715939647,0.339892852729386,0.298851100093017,NA,0.208698358394956,NA,NA,0.193557035346787,0.517215784640227,0.270867889109723
"Stanford_Orion_TMA_Tris10min",0.0930304359876391,0.198066416511522,0.131233166178336,0.214692686797302,0.209191629740134,0.253020659723019,0.165404222669777,0.126985221032488,NA,0.1911403540592,0.125063387962979,0.477628354817793,0.270774387380708
"Stanford_Orion_TMA_Tris20min",0.12966986502132,0.327308414959913,0.146812175645988,0.287953825794521,0.241829468079134,0.332597789704906,0.261962221140402,0.194388641959454,0.380527101042779,0.28637379845488,0.170077866787479,0.672657671649993,0.38936073742716
"Stanford_Orion_TMA_Tris40min",0.220113197279257,0.529652731307274,0.254294978433322,0.447279177801501,0.3498622467772,0.447225760890123,0.466802968870118,0.307549784381936,0.52649879968245,0.473785734086915,0.255429203363459,0.774524322852853,0.512073971842667
