"Staining_condition","CD68","aSMA","CD45RO","CD45RA","CD14","CD209","CD16","CD163","pS6","CD11b","FOXP3","CD4","Neurofilament","pMK2","CD31","CD20","CD8","VEGF","CD3","pCREB","Ki67","Collagen","CD44","CD66a","CD11c","HLADR","SOX9","TenascinC","PanCK","CD15","Podoplanin","Desmin"
"Stanford_OSCC_Citra_20min",0.258353173561879,0.504387348667913,0.306447983018625,0.298901787414594,0.379962433608958,0.309290717403138,0.342490290372923,0.338687332612356,0.399802169616527,0.358377252264534,0.28424246173141,0.298626778940855,0.253634731897601,0.292552975093589,0.433133896078098,0.099709974031706,0.435993912860699,0.292950010712646,0.311283282239857,0.224682961038092,0.081444494216952,0.267161597134163,0.293486173184048,0.137208806214339,0.288103076830598,0.367452401075148,0.330411132564644,0.256375157206365,0.341875058575881,0.316248266191451,0.431905858581872,0.414045784787494
"Stanford_OSCC_Tris_10min",0.153575770117982,0.198569771123272,0.133544422341615,0.0712871086908464,0.174969232734329,0.101581801786567,0.166150679082065,0.11272070370251,0.225446117617442,0.101374139813042,0.1392692670623,0.140454087483418,0.0860262225270157,0.185478980986143,0.252325114880422,0.0221906427626708,0.205576747355968,0.141235679111589,0.183207155490104,0.216515930539005,0.0276676203852833,0.156080134744037,0.152426954387274,0.0742847573970999,0.199349381431853,0.280909705466464,0.160045905436899,0.142223926478371,0.291892045360269,0.242721271843471,0.211511060884311,0.325906193610959
"Stanford_OSCC_Tris_20min",0.167883864519929,0.368609039235898,0.227582393756117,0.148696720018131,0.23234773014804,0.23950496877681,0.266896834964421,0.270598339071829,0.29154941255897,0.25244963438896,0.265276443638997,0.24419135270456,0.114562889166216,0.242468329426447,0.27541119711501,0.0460900535014374,0.242012560952181,0.157356568015564,0.206100039709899,0.262476844276938,0.0277248282370707,0.137055014151733,0.191394090010047,0.0839927565102997,0.238027121986879,0.300193121286397,0.209727553807884,0.165961716643603,0.347390484036463,0.228364800174838,0.225442797577308,0.300902242073456
"Stanford_OSCC_Tris_40min",0.141340985127335,0.286294205962187,0.185522026947028,0.149663669096652,0.257517617872848,0.244457569794967,0.266868035730788,0.255093438090656,0.263634619214181,0.262252924102233,0.22724419927666,0.230459729731953,0.117055756520361,0.242842070470692,0.258289933906019,0.0377816625229268,0.232014092546821,0.155103675769099,0.187061488852258,0.238877082190126,0.0202318011214647,0.102473966796861,0.16151743181106,0.0653308871450947,0.196453083871538,0.247479954984405,0.230534982196132,0.15870334730082,0.222284058873595,0.221117293261448,0.208913754681265,0.297532776213979
