"Staining_condition","Marker","CV","Is_Excluded"
"Stanford_13","CD68",0.120381177347711,FALSE
"Stanford_13","CD163",0.406163168148464,FALSE
"Stanford_13","CD8a",0.13141675545408,FALSE
"Stanford_13","CD4",0.212597184665221,FALSE
"Stanford_13","PDL1",0.233563952883758,FALSE
"Stanford_13","CD3e",0.391154879535687,FALSE
"Stanford_13","CD45RO",0.216212608894538,FALSE
"Stanford_13","PD1",0.241698912563517,FALSE
"Stanford_13","CD31",0.576286549746204,FALSE
"Stanford_13","SMA",0.416460069103371,FALSE
"Stanford_13","HLAABC",0.34549768816505,FALSE
"Stanford_13","Vimentin",0.374823813658066,FALSE
"Stanford_14","CD68",0.179508985190516,FALSE
"Stanford_14","CD163",0.40224502317832,FALSE
"Stanford_14","CD8a",0.125582418296458,FALSE
"Stanford_14","CD4",0.25850632249371,FALSE
"Stanford_14","PDL1",0.238055689868143,FALSE
"Stanford_14","CD3e",0.350114772341387,FALSE
"Stanford_14","CD45RO",0.238080909778012,FALSE
"Stanford_14","PD1",0.1705977519661,FALSE
"Stanford_14","CD31",0.381946904048028,FALSE
"Stanford_14","SMA",0.220033320457846,FALSE
"Stanford_14","HLAABC",0.206221808639363,FALSE
"Stanford_14","Vimentin",0.229075852282516,FALSE
"Stanford_15","CD68",0.161893378863261,FALSE
"Stanford_15","CD163",0.394602920165581,FALSE
"Stanford_15","CD8a",0.12886950582508,FALSE
"Stanford_15","CD4",0.255477237991915,FALSE
"Stanford_15","PDL1",0.27453366937665,FALSE
"Stanford_15","CD3e",0.382081603620293,FALSE
"Stanford_15","CD45RO",0.338485153367829,FALSE
"Stanford_15","PD1",0.157635749709149,FALSE
"Stanford_15","CD31",0.407336057468695,FALSE
"Stanford_15","SMA",0.188376514156434,FALSE
"Stanford_15","HLAABC",0.22781721199,FALSE
"Stanford_15","Vimentin",0.274261663566461,FALSE
"Stanford_16","CD68",0.174258833497719,FALSE
"Stanford_16","CD163",0.387405018247727,FALSE
"Stanford_16","CD8a",0.317193326753804,FALSE
"Stanford_16","CD4",0.247953358117209,FALSE
"Stanford_16","PDL1",0.252062613291571,FALSE
"Stanford_16","CD3e",0.374550420719354,FALSE
"Stanford_16","CD45RO",0.350585959979882,FALSE
"Stanford_16","PD1",0.210561069269148,FALSE
"Stanford_16","CD31",0.368452392999304,FALSE
"Stanford_16","SMA",0.197740629729433,FALSE
"Stanford_16","HLAABC",0.199982814707596,FALSE
"Stanford_16","Vimentin",0.238560880736807,FALSE
"Stanford_21","CD68",0.150915982180644,FALSE
"Stanford_21","CD163",0.420075770953007,FALSE
"Stanford_21","CD8a",0.138734156691754,FALSE
"Stanford_21","CD4",0.263559880398474,FALSE
"Stanford_21","PDL1",0.225444905413624,FALSE
"Stanford_21","CD3e",0.393206837687791,FALSE
"Stanford_21","CD45RO",0.17511146524281,FALSE
"Stanford_21","PD1",0.226898060149312,FALSE
"Stanford_21","CD31",0.741055379619745,FALSE
"Stanford_21","SMA",0.362520781133808,FALSE
"Stanford_21","HLAABC",0.268612126603842,FALSE
"Stanford_21","Vimentin",0.364926538050003,FALSE
"Stanford_22","CD68",0.358684666610411,FALSE
"Stanford_22","CD163",0.570001152130604,FALSE
"Stanford_22","CD8a",0.135991721202168,FALSE
"Stanford_22","CD4",0.310121152564063,FALSE
"Stanford_22","PDL1",0.370440667818566,FALSE
"Stanford_22","CD3e",0.403710530021242,FALSE
"Stanford_22","CD45RO",0.371225489455386,FALSE
"Stanford_22","PD1",0.243910998499401,FALSE
"Stanford_22","CD31",1.09521843208264,FALSE
"Stanford_22","SMA",0.406666993555523,FALSE
"Stanford_22","HLAABC",0.255562775151673,FALSE
"Stanford_22","Vimentin",0.33915705047234,FALSE
"Stanford_23","CD68",0.108087836191592,FALSE
"Stanford_23","CD163",0.288449537728235,FALSE
"Stanford_23","CD8a",0.119476083552759,FALSE
"Stanford_23","CD4",0.17790138073541,FALSE
"Stanford_23","PDL1",0.139094067741379,FALSE
"Stanford_23","CD3e",0.261517310646318,FALSE
"Stanford_23","CD45RO",0.120288588935355,FALSE
"Stanford_23","PD1",0.201727108421421,FALSE
"Stanford_23","CD31",0.270862473010937,FALSE
"Stanford_23","SMA",0.132264852816578,FALSE
"Stanford_23","HLAABC",0.26230552575658,FALSE
"Stanford_23","Vimentin",0.167038625474858,FALSE
"Stanford_24","CD68",0.136155332386197,FALSE
"Stanford_24","CD163",0.472663621380858,FALSE
"Stanford_24","CD8a",0.112726456080468,FALSE
"Stanford_24","CD4",0.348261410114495,FALSE
"Stanford_24","PDL1",0.466333068025399,FALSE
"Stanford_24","CD3e",0.445685258389574,FALSE
"Stanford_24","CD45RO",0.270667520886956,FALSE
"Stanford_24","PD1",0.232778781071712,FALSE
"Stanford_24","CD31",0.42985979728188,FALSE
"Stanford_24","SMA",0.418726727598519,FALSE
"Stanford_24","HLAABC",0.212225112057447,FALSE
"Stanford_24","Vimentin",0.328635420589515,FALSE
"Stanford_5","CD68",0.149378287591853,FALSE
"Stanford_5","CD163",0.420651270455478,FALSE
"Stanford_5","CD8a",0.135433632216795,FALSE
"Stanford_5","CD4",0.220715707071132,FALSE
"Stanford_5","PDL1",0.228462126991429,FALSE
"Stanford_5","CD3e",0.353946296524824,FALSE
"Stanford_5","CD45RO",0.16320810313438,FALSE
"Stanford_5","PD1",0.364152922925729,FALSE
"Stanford_5","CD31",0.878487850128111,FALSE
"Stanford_5","SMA",0.458044134360218,FALSE
"Stanford_5","HLAABC",0.259319689850905,FALSE
"Stanford_5","Vimentin",0.287966869085813,FALSE
"Stanford_6","CD68",0.393714146972223,FALSE
"Stanford_6","CD163",0.512766515756112,FALSE
"Stanford_6","CD8a",0.113459032443135,FALSE
"Stanford_6","CD4",0.255664079569841,FALSE
"Stanford_6","PDL1",0.270932285394417,FALSE
"Stanford_6","CD3e",0.38186407690265,FALSE
"Stanford_6","CD45RO",0.29996972092133,FALSE
"Stanford_6","PD1",0.160640636162414,FALSE
"Stanford_6","CD31",0.357171547904689,FALSE
"Stanford_6","SMA",0.216861139370564,FALSE
"Stanford_6","HLAABC",0.246445888875009,FALSE
"Stanford_6","Vimentin",0.267724853539791,FALSE
"Stanford_7","CD68",0.0955815508120123,FALSE
"Stanford_7","CD163",0.319568034639787,FALSE
"Stanford_7","CD8a",0.123572459037322,FALSE
"Stanford_7","CD4",0.206863167901218,FALSE
"Stanford_7","PDL1",0.174744663024687,FALSE
"Stanford_7","CD3e",0.302546146413849,FALSE
"Stanford_7","CD45RO",0.146108969569336,FALSE
"Stanford_7","PD1",0.218895120386432,FALSE
