"Staining_condition","CD68","CD163","CD8a","CD4","PDL1","CD3e","CD45RO","PD1","CD31","SMA","HLAABC","Vimentin"
"Stanford_13",0.120381177347711,0.406163168148464,0.13141675545408,0.212597184665221,0.233563952883758,0.391154879535687,0.216212608894538,0.241698912563517,0.576286549746204,0.416460069103371,0.34549768816505,0.374823813658066
"Stanford_14",0.179508985190516,0.40224502317832,0.125582418296458,0.25850632249371,0.238055689868143,0.350114772341387,0.238080909778012,0.1705977519661,0.381946904048028,0.220033320457846,0.206221808639363,0.229075852282516
"Stanford_15",0.161893378863261,0.394602920165581,0.12886950582508,0.255477237991915,0.27453366937665,0.382081603620293,0.338485153367829,0.157635749709149,0.407336057468695,0.188376514156434,0.22781721199,0.274261663566461
"Stanford_16",0.174258833497719,0.387405018247727,0.317193326753804,0.247953358117209,0.252062613291571,0.374550420719354,0.350585959979882,0.210561069269148,0.368452392999304,0.197740629729433,0.199982814707596,0.238560880736807
"Stanford_21",0.150915982180644,0.420075770953007,0.138734156691754,0.263559880398474,0.225444905413624,0.393206837687791,0.17511146524281,0.226898060149312,0.741055379619745,0.362520781133808,0.268612126603842,0.364926538050003
"Stanford_22",0.358684666610411,0.570001152130604,0.135991721202168,0.310121152564063,0.370440667818566,0.403710530021242,0.371225489455386,0.243910998499401,1.09521843208264,0.406666993555523,0.255562775151673,0.33915705047234
"Stanford_23",0.108087836191592,0.288449537728235,0.119476083552759,0.17790138073541,0.139094067741379,0.261517310646318,0.120288588935355,0.201727108421421,0.270862473010937,0.132264852816578,0.26230552575658,0.167038625474858
"Stanford_24",0.136155332386197,0.472663621380858,0.112726456080468,0.348261410114495,0.466333068025399,0.445685258389574,0.270667520886956,0.232778781071712,0.42985979728188,0.418726727598519,0.212225112057447,0.328635420589515
"Stanford_5",0.149378287591853,0.420651270455478,0.135433632216795,0.220715707071132,0.228462126991429,0.353946296524824,0.16320810313438,0.364152922925729,0.878487850128111,0.458044134360218,0.259319689850905,0.287966869085813
"Stanford_6",0.393714146972223,0.512766515756112,0.113459032443135,0.255664079569841,0.270932285394417,0.38186407690265,0.29996972092133,0.160640636162414,0.357171547904689,0.216861139370564,0.246445888875009,0.267724853539791
"Stanford_7",0.0955815508120123,0.319568034639787,0.123572459037322,0.206863167901218,0.174744663024687,0.302546146413849,0.146108969569336,0.218895120386432,0.262029075057465,0.191716249373772,0.324610553784752,0.238393829414898
"Stanford_8",0.236865168698822,0.659828052663616,0.101375250947685,0.429650506504812,NA,0.527667931785718,0.588188898313944,0.0988850914786727,0.241783466343439,0.322936086604567,0.325527984347879,0.494720946907897
