"Staining_condition","CD31","CD4","CD68","CD163","CD8a","PDL1","CD3e","CD45RO","PD1","SMA","HLAABC","Vimentin"
"Stanford_13",0.279215731441802,-0.769060971902485,-0.718045648352675,-0.307194928697851,-0.156771770054946,-0.308679144658072,0.15769551831373,-0.438624116623816,0.479688990838854,1.06657985468781,1.73914728833002,0.860421805363374
"Stanford_14",-0.440330311928892,-0.103002696566667,-0.0973758239800282,-0.345158269604266,-0.259513881693227,-0.258586032147542,-0.459588916696744,-0.270241163122386,-0.620504836574901,-0.649297511606093,-1.13348709691746,-0.825504327614324
"Stanford_15",-0.346326513461827,-0.14694921559408,-0.282288400384395,-0.419203452752238,-0.20162858903589,0.148226641441462,0.021224334878172,0.502857907071349,-0.821074204981779,-0.925834173727242,-0.688071146649582,-0.302821613122637
"Stanford_16",-0.490293982478192,-0.25610705845975,-0.152487130283845,-0.488944722256214,3.11473563731492,-0.102376887797533,-0.092052220661925,0.59603247824377,-0.00212681502980788,-0.84403434718699,-1.26216945425586,-0.715787133684435
"Stanford_21",0.889275295872913,-0.0296847424170604,-0.397519103494214,-0.172394178039278,-0.0279130437674137,-0.399225042562065,0.188559030014359,-0.755097353261715,0.250665915410153,0.595395537790087,0.153344286245564,0.745935980412983
"Stanford_22",2.20057038541704,0.645834818675836,1.78344713861638,1.28024945805391,-0.0762070668277136,1.21780842688423,0.346545113161789,0.75495405841059,0.513918014274178,0.981032866842063,-0.115805087029552,0.447849803902569
"Stanford_23",-0.851622421398732,-1.27243412199765,-0.847089936898032,-1.44773534132362,-0.367045844448966,-1.3622338389211,-1.79218373246755,-1.17722607196199,-0.138820353006127,-1.41599516423448,0.0232675026016694,-1.54311424068197
"Stanford_24",-0.262931960557995,1.1991807399129,-0.552462948865616,0.337135333640584,-0.485906129780441,2.28722740870891,0.977887189411595,-0.0193286732876962,0.341662079259024,1.08638015192717,-1.00966597381566,0.326141818325567
"Stanford_5",1.39812149670698,-0.651275945048833,-0.413660419487207,-0.166818099570964,-0.0860349597468597,-0.365576140034694,-0.401958944396618,-0.846751628511292,2.37449837525078,1.42983565800754,-0.0383168501273151,-0.144287909290115
"Stanford_6",-0.532061514906004,-0.14423848337299,2.15115468972047,0.725696722283132,-0.473005531065745,0.108062995697565,0.0179525145497183,0.20629429633251,-0.774577671026727,-0.677007962280382,-0.303845407391751,-0.378435561655871
"Stanford_7",-0.884328236643507,-0.852251149222881,-0.978369519776104,-1.14622477554553,-0.294909069357479,-0.96464838661116,-1.1750688310373,-0.978412639914946,0.126831299289915,-0.896660061197453,1.30833973834745,-0.717719484480277
"Stanford_8",-0.959287968063585,2.37998882599365,0.504697103185273,2.15059225381233,-0.685799751536234,NA,2.21098894493077,2.42554290662562,-1.73016079370356,0.249605150977974,1.32726220066247,2.24732086252513
