Staining_condition,Nucleus,02_AF1,03_ArgoFluor520,CD68,05_ArgoFluor548,06_AF2,Pan-CK,FOXP3,CD163,CD8a,CD4,PD-L1,CD3e,CD45RO,PD-1,16_ArgoFluor760,CD31,SMA,HLA-ABC,Vimentin
Stanford_13,1,0.010352134700406329,0.007457028249973897,0.009318461258113881,0.006894322091389319,0.006616028927363496,0.007810673883821817,0.07534274832853727,0.009829865880218409,0.015783152859609642,0.01679850214601103,0.012959745162420459,0.02417811673550867,0.018240688689106725,0.010723764013624262,0.008690952496257847,0.008873370311410646,0.007051875860882512,0.01660447824017587,0.010740796450136432
Stanford_14,1,0.011288229904180486,0.006445903644666278,0.007135537411595025,0.006116004112582014,0.00594383945879952,0.00790712037280035,0.023735271350886947,0.008652840005459333,0.013606964884402425,0.017466801333840973,0.01251084024862379,0.02061536953263357,0.015293047385150648,0.008311235355787051,0.008352167587894588,0.007921795306896007,0.007428120603777593,0.016163307987767515,0.010209919065324535
Stanford_15,1,0.010593781292680814,0.006796660798735676,0.007240747192762659,0.007360813476622194,0.0066799540760320904,0.007469548037097975,0.015937887905227086,0.008645872695739652,0.013687289663250203,0.01661746170216464,0.011471283557572036,0.021423852040368764,0.018228351550852246,0.008063250107005641,0.008414806333535625,0.007852748343437575,0.007518126907981543,0.01679386174610028,0.010441927641653373
Stanford_16,1,0.009908983654472361,0.006904148249088733,0.006868221992797522,0.00751076223296614,0.006995989030644602,0.007490524451686992,0.009611920731307629,0.007572248227875481,0.014193941755253943,0.01466183604399153,0.010103061538323969,0.02018410481647448,0.016257327491182732,0.00819966921033929,0.008240803038664452,0.007152953194501129,0.006610344882243849,0.015961159708784943,0.009308221741370365
Stanford_21,1,0.011123895720777164,0.007379574359374756,0.00931547236287777,0.007615054617897156,0.007071791447708288,0.008137863932191389,0.01645974040536151,0.010468670622459254,0.01659748092537508,0.017863923923944803,0.013753901757373389,0.022212962932518388,0.018308474076890024,0.011874699029703686,0.00904882981810455,0.009306286428411765,0.007306596519091078,0.016734907090910817,0.010774708086762667
Stanford_22,1,0.010465347083800994,0.0040123167308681726,0.004646776991178532,0.004201929736120901,0.003334944704582829,0.005036593764969322,0.00487128374000427,0.006438648864897466,0.010560300140950527,0.013442670857615972,0.00969780525737464,0.016443206680545837,0.013458003261617606,0.006709659623289282,0.006385263805704493,0.006321496614146379,0.00562566665003071,0.013020161951972593,0.007940820351903915
Stanford_23,1,0.015707623607370335,0.010887961844938874,0.015461662897034894,0.011932823667393566,0.011051482133356678,0.011566653770933574,0.0246972095442918,0.018374804287306028,0.027062866921326055,0.03193071252042651,0.022111795649847017,0.04125075555807632,0.03600387396962836,0.012304089602808082,0.013109154684058957,0.012890940197538323,0.011540869967777166,0.023198276770771402,0.01639109258976489
Stanford_24,1,0.013959098934077008,0.008964721732615588,0.008331383815838554,0.008408064671407513,0.006877447316537553,0.00820457705222287,0.009434101457472425,0.009335594258693281,0.01502321597957294,0.0196462327494577,0.01300440273670599,0.0250145098880313,0.016435188342933647,0.010535106544023131,0.011376044959569426,0.010353325918758448,0.008059402681537493,0.019799797858695102,0.011835950409901968
Stanford_5,1,0.014523609982418634,0.008179817318702293,0.01226334500398238,0.008139968403764831,0.007380802040210181,0.008343657721187572,0.016029634872258856,0.014894107581815072,0.023057208944532837,0.022941555519486605,0.0177526544378079,0.034792028751699414,0.024042543033402072,0.011200179772614328,0.010282993992349554,0.01007970272182831,0.009818643221859559,0.022318437548622835,0.013968362277619658
Stanford_6,1,0.019840178217839427,0.0073798865697417525,0.008267465158739445,0.007718564285758785,0.006081614057210538,0.0081887350745957,0.00624869848288414,0.014143193690099486,0.0182293227359044,0.025944610712770474,0.017725741576347494,0.025793604655108417,0.026291017709964514,0.012020548477702333,0.011979431010307635,0.011578588358595975,0.011128428456644988,0.024889819213420438,0.014527120104464955
Stanford_7,1,0.020810917151976194,0.014420666564238144,0.01663689934943821,0.015969694186172022,0.013927935976531853,0.014493179035322473,0.02210881986574679,0.020524232132217175,0.028522767097441927,0.034586042594497185,0.022239648288712457,0.04090037763722319,0.0346060632196257,0.013879152365170103,0.015864788755355012,0.013498822696260671,0.0130082988511426,0.02980243221592723,0.01753236993496158
Stanford_8,1,0.018049244155123392,0.0096164336270527645,0.007488595361255178,0.00792313474058613,0.005632825153108777,0.007504298017962922,0.005798508980991405,0.01149873833105787,0.016817379125958525,0.02006358762240942,0.01289698892102327,0.020960003993259705,0.01914621644351751,0.013008948320542389,0.013746661099411805,0.013601385240538943,0.010224841281738579,0.023261440516943475,0.013716136048660024
