Marker,mean_SNR
CD45,0.4025518471095727
CD3e,0.38916212881354467
CD20,0.33027436628924683
S100b,0.22987319658125868
MHCII,0.20905273303053462
CD4,0.197578304910684
CD8,0.1805140226873349
CD34,0.16431988404245176
Iba1,0.16002327506872147
Vimentin,0.13657672656631895
