"Staining_condition","Marker","CV","Is_Excluded"
"Stanford_Tonsil_3","CD16",NA,TRUE
"Stanford_Tonsil_3","CD163",0.192750197544357,FALSE
"Stanford_Tonsil_3","pS6",0.243718511898191,FALSE
"Stanford_Tonsil_3","CD11b",0.147706344593345,FALSE
"Stanford_Tonsil_3","PDL1",0.172290149295185,FALSE
"Stanford_Tonsil_3","PD1",NA,TRUE
"Stanford_Tonsil_3","pSTAT3",NA,TRUE
"Stanford_Tonsil_3","CD4",0.170256917560146,FALSE
"Stanford_Tonsil_3","pMK2",NA,TRUE
"Stanford_Tonsil_3","CD31",0.257406697725213,FALSE
"Stanford_Tonsil_3","CD20",0.156710147482492,FALSE
"Stanford_Tonsil_3","CD8a",0.152034862030565,FALSE
"Stanford_Tonsil_3","CD3",0.17266401112162,FALSE
"Stanford_Tonsil_3","GRZB",0.139692116961484,FALSE
"Stanford_Tonsil_3","Ki67",0.270468313186726,FALSE
"Stanford_Tonsil_3","Collagen1",0.228289447771928,FALSE
"Stanford_Tonsil_3","CD44",0.0984596956404888,FALSE
"Stanford_Tonsil_3","CD66a",0.208705036931946,FALSE
"Stanford_Tonsil_3","CD11c",0.191170255182786,FALSE
"Stanford_Tonsil_3","HLADR",0.27375943679252,FALSE
"Stanford_Tonsil_3","SOX9",0.19023781408401,FALSE
"Stanford_Tonsil_3","TenascinC",NA,TRUE
"Stanford_Tonsil_3","CD15",0.208818572518961,FALSE
"Stanford_Tonsil_3","Podoplanin",0.0976427236320541,FALSE
