"Staining_condition","PanCK","CD68","aSMA","CD45RO","CD45RA","CD14","CD209","CD16","CD163","pS6","CD11b","PDL1","PD1","pSTAT3","CD4","pMK2","CD31","CD20","CD8a","CD3","GRZB","Ki67","Collagen1","CD44","CD66a","CD11c","HLADR","SOX9","TenascinC","CD15","Podoplanin"
"Stanford_Tonsil_1",0.235691778125927,0.145767286895933,0.396811416966849,0.279969888135201,0.295643418899657,0.0821127071200948,0.162834951421348,0.163767545150598,0.205615492028141,0.242336997593665,0.135213146084385,0.163563776792294,0.183109773671713,0.132352923439205,0.135877631603407,0.244756702503008,0.281990966439597,0.149502096227172,0.134939791721787,0.129384217973378,0.10264194664296,0.230621595896851,0.20247783237885,0.0985266661765297,0.262211862420229,0.156810953586946,0.258317999132306,0.201962989433044,0.188318219659378,0.17468385699623,0.0785386732799003
"Stanford_Tonsil_2",0.217553688940216,0.157656211275956,0.258160516740475,0.276763183834282,0.220463255176623,0.0755435557003115,0.0937438609545203,0.102422008097639,0.119006883963588,0.160842768133588,0.0804182937062236,0.108096061037019,0.10110905302805,0.0847453249207138,0.116291685069474,0.144871530157964,0.194464572868272,0.147141251395907,0.0897075898807671,0.104049914936508,0.0760036763858295,0.153397572795799,0.141095086054182,0.0883827609278118,0.189430148451836,0.131868955157149,0.204325343896408,0.159355967816695,0.162638363937907,0.189984523991083,0.0883662377474487
"Stanford_Tonsil_24",0.173125153686884,0.38312914554463,0.336841898176678,0.319153393999405,0.238938760078772,0.108387317313229,NA,NA,0.277480054905983,0.350410558926179,0.207149435455951,0.20335800234063,NA,NA,NA,NA,0.337709328550838,0.224838790124789,0.20352334402998,0.176347483744573,0.250183168191911,0.491802945179141,0.31896339142691,0.124300498264093,0.330072919213221,0.270835452471197,0.358950492481694,NA,NA,0.355343895633091,0.150878924859772
"Stanford_Tonsil_3",0.200924299848188,0.14993391783925,0.211987972148026,0.256323983078143,0.235288530323988,0.0959874229924289,NA,NA,0.192750197544357,0.243718511898191,0.147706344593345,0.172290149295185,NA,NA,0.170256917560146,NA,0.257406697725213,0.156710147482492,0.152034862030565,0.17266401112162,0.139692116961484,0.270468313186726,0.228289447771928,0.0984596956404888,0.208705036931946,0.191170255182786,0.27375943679252,0.19023781408401,NA,0.208818572518961,0.0976427236320541
