"Staining_condition","CD31","CD4","CD45","CD68","CD8","Vimentin","SMA","MastCellTryptase_MastCellChymase","HLADR","HLA1ABC","GranzymeB","CD163","CD14","CD3e","Calprotectin"
"Stanford_MIBI_Liver_1",0.216563751911657,0.344270865605023,0.440846926266655,0.32772740715411,0.152897522008162,0.398631353866962,0.18652636374474,0.244586782626235,0.382823707145834,0.488037047870306,0.102308166611679,0.458536423597265,0.48535663096313,0.282525820381463,0.122980888181337
"Stanford_MIBI_Liver_2",0.219786738478358,0.419094790285788,0.389344322442102,0.325089653997549,0.162129076832068,0.357426989120817,0.205850502024728,0.553593372316381,0.330855012374426,0.332755479657169,0.0679110515477611,0.338615257777632,0.416402918651537,0.353710504997689,0.131871222583864
"Stanford_MIBI_Liver_24",NA,0.324302050784963,0.370884393877521,0.307148958425317,NA,0.363744679235864,0.123993467937061,0.351810979693935,0.268676304080963,0.391519768295963,0.106550382112797,0.391840807017241,0.502597727040722,NA,0.122863654051496
"Stanford_MIBI_Liver_3",0.252508567332268,0.345542245369322,0.472098738604286,0.353713765587805,0.129940568224745,0.396974664556336,0.274443589769649,0.322593561428037,0.345703389699816,0.446008275252758,0.0814571531076328,0.428021091765062,0.531989915056698,NA,0.137313198231943
