"Staining_condition","CD11c","CD15","CD20","CD3","CD31","CD4","CD45RA","CD68","Granzyme B","aSMA","CD45RO","CD14","CD209","CD16","CD163","pS6","CD11b","PDL1","PD1","pSTAT3","pMK2","CD8a","Ki67","Collagen","CD44","CD66a","HLADR","SOX9","TenascinC","PanCK","Podoplanin"
"Stanford_IMC_Tonsil_Citra_20min",0.605190487843471,0.784542598501338,0.559660138653689,0.637624870727657,0.553408097057264,NA,0.698860853635651,0.912001507113685,0.467396433843695,0.357900149143568,0.442989177999815,0.41981418866044,NA,NA,0.623672565811709,0.487297464955202,0.520951058734419,0.644147511945905,NA,NA,NA,0.554987268810045,0.868256484934582,0.610888969423024,0.521464015586454,0.484158435937747,0.497815319846908,NA,NA,0.495876305606697,0.479443941907652
"Stanford_IMC_Tonsil_Tris_10min",0.731661233747874,0.830986803085488,0.609829802005409,0.657016169024413,0.69603800962142,0.650566938683551,0.726788901592944,0.971120186088241,0.713895548760765,0.465520410962025,0.680376734286437,0.672297162199912,NA,NA,0.749673806523487,0.737660568322934,0.715443883851462,0.777483213549108,NA,NA,NA,0.60355278928093,0.929921256360074,0.655258205489988,0.745405968782175,0.685145610636244,0.61331683891722,0.695989517498883,NA,0.637043786889432,0.7243276195813
"Stanford_IMC_Tonsil_Tris_20min",0.634139862705374,0.817248030015209,0.697349612407247,0.764873071436838,0.494719792372244,0.69149337831045,0.694821122764247,0.943793591736279,0.659159547471506,0.369107395393718,0.506455305614858,0.523685011596497,0.54911937477315,0.607145603865405,0.668862175799681,0.444917826779645,0.628437153260104,0.676604474683163,0.720321609263768,0.682873434197489,0.501588920364245,0.628854733314509,0.926588942710939,0.784336412260189,0.608835394163728,0.459847654164456,0.51926452872934,0.461181711725851,0.935006361605821,0.40903404064406,0.695054772789699
"Stanford_IMC_Tonsil_Tris_40min",0.706415485560075,0.824812216994263,0.698535288637029,0.692233888270611,0.534360192849668,0.600999116773709,0.59367997306979,0.936497126497987,0.728270333386592,0.331334452465344,0.424345030359056,0.529005639638364,0.551022132507009,0.645365423145136,0.640488636835897,0.577881097356826,0.587965112003717,0.697408201334339,0.670707180561014,0.65874824816835,0.5292552928243,0.576295332744853,0.940013923544666,0.739700566719292,0.545899621254064,0.56400133150799,0.548547487699678,0.520083576007982,0.938321104186553,0.676559161570531,0.65255336117389
