"Staining_condition","CD15","CD20","CD3","CD45","CD56","CD68","CD8","FoxP3","H3K27ac","H3K27me3","CD11b","Ki67","HLADRA","PD1","GranzymeB","NaKATPase","PAX5"
"1_Fresh",0.131406150255794,0.74275572182884,0.349342142040983,0.82946253320896,0.446710349481552,0.462134285712999,0.363900531714732,0.693266104324986,0.815545502021244,0.811397348164262,0.532357287073766,0.581304487418157,0.749095354590027,0.440157617339573,0.445781515857857,0.63475649103089,0.741201330025639
"2_Lyophilized_manual",0.118478875788527,0.632269453017892,0.273269471917909,0.804380530600163,0.435297918704623,0.414266751071212,0.286973771157832,0.472353582196505,0.732168207162976,0.728027706763329,0.413306357763802,0.524086485986063,0.649943616563277,0.372128928626293,0.431977840382001,0.552202226959581,0.670014100137982
"3_Lyophilized_automated",0.110401469310661,0.436714408354736,0.26682277348994,0.640086172766708,0.392791815519368,0.37463119151651,0.255065474764253,0.314725008778531,0.489261998400865,0.455731515981667,0.275462762132298,0.400455540537114,0.392286812498033,0.318086349366421,0.35389792604868,0.540750688736406,0.606693323957812
