"Staining_condition","CD3","CD11b","CD15","CD20","CD8","H3K27me3","Ki67","HLADRA","PD1","CD68","H3K27ac","FoxP3","CD56","GranzymeB","NaKATPase","CD45","PAX5"
"1_Fresh",0.716192360141142,0.347765349935921,0.806930123092507,0.222355569032441,0.576626085197217,0.129931843175263,0.40604874718179,0.168983239205788,0.427290521635594,0.247845857419098,0.12606478758601,0.154771730781189,0.31753710785885,0.248244163379054,0.15744036874184,0.125117413743655,0.210334794494678
"2_Lyophilized_manual",0.828981597600458,0.495937291256227,0.706378796621458,0.239494332681495,0.696246717776792,0.13469832898788,0.452780283375386,0.170644135004877,0.480895681685533,0.264637553282333,0.116836122662682,0.22854806011128,0.317838625379346,0.241232913253017,0.173970814805389,0.128150865703252,0.238078600586159
"3_Lyophilized_automated",0.867396693291814,0.733985284242624,0.758584750658255,0.318053842417275,0.790583503609231,0.277414322040972,0.608957677676638,0.269597347379473,0.598383251539024,0.290355284628872,0.215742978308541,0.320931306282627,0.41759956995316,0.295602133172348,0.21030610028537,0.216782695403886,0.27074614914552
