"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out","ident.1","ident.2"
"CK","Stanford_Slide13",0.651911088528316,0.0133017078350085,2078429223,0.540896789317638,2.93182858903653e-137,3.38287914119599e-137,99.9889879969166,100,"Stanford_Slide13","Stanford_Slide16"
"FOXP3","Stanford_Slide13",0.621522056832169,-0.125924408309624,1384946140.50391,0.360422627091025,0,0,71.4883508738811,89.8129001306887,"Stanford_Slide13","Stanford_Slide16"
"CD163","Stanford_Slide13",0.520254986397543,0.0837353517027883,2612570701,0.67990340416621,0,0,100,100,"Stanford_Slide13","Stanford_Slide16"
"CD8a","Stanford_Slide13",0.953396504118744,0.011930364444539,2913782127.5,0.758291588712841,0,0,100,100,"Stanford_Slide13","Stanford_Slide16"
"CD4","Stanford_Slide13",0.570963249539465,0.0372494788671196,2199152485.5,0.5723141810477,0,0,100,100,"Stanford_Slide13","Stanford_Slide16"
"PDL1","Stanford_Slide13",0.509589489820018,0.0932318978741967,2837185326,0.738357802397256,0,0,99.9984268567024,100,"Stanford_Slide13","Stanford_Slide16"
"CD3e","Stanford_Slide13",0.584901922054507,0.110239207176348,2551276590,0.663952036913913,0,0,100,100,"Stanford_Slide13","Stanford_Slide16"
"CD45RO","Stanford_Slide13",0.59348149684757,0.190870826535051,3421005996,0.890293082389358,0,0,100,99.9933828516601,"Stanford_Slide13","Stanford_Slide16"
"PD1","Stanford_Slide13",0.492446574110992,0.130595183895776,3476313567.6875,0.904686494308164,0,0,99.9889879969166,99.9867657033202,"Stanford_Slide13","Stanford_Slide16"
"Hoechst","Stanford_Slide14",0.596733700201201,-0.0104427649380052,1805134251,0.469773668426331,7.427684417471e-76,7.95823330443321e-76,100,100,"Stanford_Slide13","Stanford_Slide16"
"CD31","Stanford_Slide14",0.197036795567585,-0.118304773234416,956658834.5,0.248963826300764,0,0,100,99.9575251309642,"Stanford_Slide13","Stanford_Slide16"
"aSMA","Stanford_Slide14",0.38930126880968,-0.0227822299680003,1964558018,0.511262598026135,6.53342744985752e-12,6.53342744985752e-12,100,99.8820142526783,"Stanford_Slide13","Stanford_Slide16"
