"Staining_condition","Total_Markers","Working_Markers","Excluded_Markers","NonWorking_Markers","Total_Score","Average_Score","Average_Rank","Penalty_Count"
"ASTAR_COMET_Tonsil_1",20,20,0,0,38,1.9,1.9,0
"ASTAR_COMET_Tonsil_24",20,20,0,0,43,2.15,2.15,0
"ASTAR_COMET_Tonsil_3",20,20,0,0,57,2.85,2.85,0
"ASTAR_COMET_Tonsil_2",20,20,0,0,62,3.1,3.1,0
