"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"CD66a","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.36625328094147,"large",1.27313931793974,1.45936724394319
"CD68","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.89665968845293,"large",1.77975099640781,2.01356838049805
"CD68","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",2.34815519517048,"large",2.24599293496666,2.4503174553743
"CD68","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.13317975807981,"large",1.04285368191752,1.22350583424211
"Collagen","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.886419273352345,"large",0.78538136655519,0.9874571801495
"Desmin","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.34739213137206,"large",1.25451975619487,1.44026450654924
"Desmin","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",1.03708641732466,"large",0.934509147428872,1.13966368722045
"Desmin","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.948722588935689,"large",0.867068757772585,1.03037642009879
"FOXP3","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.42589711868284,"large",1.31680837814836,1.53498585921731
"FOXP3","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",0.993923970422426,"large",0.910268329152247,1.07757961169261
"FOXP3","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",2.07924257658111,"large",1.97519061860619,2.18329453455603
"FOXP3","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.886842844092127,"large",0.805703676975183,0.967982011209072
"Granzyme B","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",2.12074670404662,"large",2.01596197636416,2.22553143172907
"Granzyme B","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",1.59475208561107,"large",1.4847091623384,1.70479500888373
"Granzyme B","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",2.41862814349439,"large",2.31704857867358,2.5202077083152
"HLADR","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.866824724609813,"large",0.779125558001856,0.95452389121777
"Ki67","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.900863527215698,"large",0.812863721441798,0.988863332989598
"Ki67","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",1.14660613293366,"large",1.06310047869293,1.23011178717439
"Neurofilament","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",2.12089169085659,"large",1.99970789594546,2.24207548576771
"Neurofilament","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.62814844577076,"large",1.53725390653961,1.71904298500191
"Neurofilament","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",2.83182077659858,"large",2.71319777627943,2.95044377691773
"Neurofilament","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.867252443184093,"large",0.766394593626352,0.968110292741833
"Neurofilament","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",1.23203737244245,"large",1.1476389760129,1.316435768872
"PD1","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.66432890563603,"large",1.57293783175222,1.75571997951983
"PD1","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",2.03723062369444,"large",1.93391078746466,2.14055045992422
"PD1","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.891402859169394,"large",0.790317544198774,0.992488174140014
