"Staining_condition","CD68","aSMA","CD45RO","CD45RA","CD14","CD209","CD16","CD163","pS6","CD11b","PDL1","PD1","pSTAT3","CD4","pMK2","CD31","CD20","CD8a","CD3","Granzyme B","Ki67","Collagen","CD44","CD66a","CD11c","HLADR","SOX9","TenascinC","PanCK","CD15","Podoplanin"
"Stanford_IMC_Tonsil_Citra_20min",0.0784253707273883,0.424113032797891,0.33454845432813,0.203924693689007,0.303168906097703,NA,NA,0.18817181917921,0.29436842796163,0.240979554527105,0.133102126867205,NA,NA,NA,NA,0.298639679446078,0.287154312792208,0.33986320961025,0.23905901199602,0.296763180213114,0.105508089618235,0.374172814017489,0.238475639081865,0.320013632145118,0.212796433727898,0.25001217198842,NA,NA,0.227735496591681,0.107323507635902,0.273504021243892
"Stanford_IMC_Tonsil_Tris_10min",0.0128367385398602,0.211289104657971,0.197455504048997,0.199127759806611,0.171692726397468,NA,NA,0.0753876302952982,0.192285299258888,0.101119770819821,0.0660671684594569,NA,NA,0.173560265951117,NA,0.263208878771014,0.301828362724708,0.249131434856452,0.226216599044824,0.120235564318588,0.0286932610894317,0.189874575488184,0.196372556568073,0.201743467335479,0.142037675060508,0.231632525468735,0.187606096438412,NA,0.226131411948028,0.0492984416388869,0.137362354043268
"Stanford_IMC_Tonsil_Tris_20min",0.0181428282736424,0.532493297494533,0.325204377484857,0.220823579986087,0.265775084055037,0.174950499055732,0.127514910567913,0.133878801359678,0.293705071637714,0.284104195844397,0.100648445740685,0.17226802353616,0.14345929244716,0.176175676368155,0.199746908225474,0.310391737470473,0.236212642553658,0.204007522983428,0.125805029426,0.118012259498196,0.0357995441819029,0.149404900236628,0.184361016360242,0.215563241646788,0.21624985525658,0.304969961914521,0.265754840092074,0.0177591784485085,0.157486863164611,0.0350676597981023,0.203930533063596
"Stanford_IMC_Tonsil_Tris_40min",0.0172800553121592,0.456191166795195,0.311231954068385,0.212049956412746,0.212467023150896,0.167129884628298,0.136895881101549,0.15129047360615,0.24403100225577,0.18039417158922,0.12503757175813,0.1125757781228,0.159377385325128,0.17992069739599,0.258274444035126,0.247416952849252,0.245889493341077,0.179499126997051,0.12958106553501,0.104449097384892,0.023198207286559,0.16442770851513,0.213072371165772,0.206929760887166,0.149093641882257,0.215762416574698,0.271874922983733,0.01479856194863,0.270104667966115,0.0416708778053648,0.203030392668458
