"Staining_condition","CD68","FOXP3","MHCII","CD20","CD206","CD45","CD4","CD8","CD86","Ki67","aSMA","PDL1","Vimentin","CD27","CK","Granzyme B","CD3","PD1"
"UK_Skin_Citra_20min",0.292218322741338,0.411124370945985,0.159551111087021,0.167221341144947,0.163102190536145,0.116232649096578,0.379639399795543,0.111780418673657,0.26164011114351,0.457430297664446,0.0904369047942473,0.33111485547197,0.166884425787008,0.257483144497602,0.456204579209364,0.259465488177846,0.378488502165671,0.288406739679755
"UK_Skin_Tris_10min",0.154254996049644,0.284254449095056,0.105176947471746,0.124754687108118,0.0640527698210016,0.0656315001014459,0.401480656116911,0.05793708482631,0.160260736868271,0.423313927803636,0.0535483709609967,0.295803207460614,0.134788065278192,0.268580953033585,0.378594064871277,0.160917108208658,0.319444677462106,0.246562484434678
"UK_Skin_Tris_20min",0.136222974894138,0.355855313270333,0.106402859765644,0.133709111468122,0.0593509864788253,0.0759815300668667,0.322377629135009,0.0709053602922998,0.162071634754261,0.388155657662634,0.056207151836811,0.238662787934434,0.134273663684743,0.234394703268862,0.339850319162972,0.152146691087107,0.28398248970408,0.19987257341304
"UK_Skin_Tris_40min",0.130541202281361,0.293057538277217,0.0991737580421111,0.122308962615889,0.0683152768336065,0.0725707617920041,0.339234567370686,0.0679345722619068,0.175463659189404,0.350723074958858,0.0794457151914123,0.256835074655996,0.133487399763409,0.262789794537173,0.303005017510238,0.168160284569441,0.301715828466133,0.213137143106924
