"Staining_condition","Total_Markers","Working_Markers","Excluded_Markers","NonWorking_Markers","Total_Score","Average_Score","Average_Rank","Penalty_Count"
"Stanford_Orion_TMA_Tris40min",13,13,0,0,18,1.38461538461538,1.38461538461538,0
"Stanford_Orion_TMA_Tris20min",13,13,0,0,35,2.69230769230769,2.69230769230769,0
"Stanford_Orion_TMA_Tris10min",13,12,1,0,54,4.15384615384615,3.66666666666667,1
"Stanford_Orion_TMA_CA20min",13,9,4,0,54,4.15384615384615,1.55555555555556,4
