"Staining_condition","CD11c","CD15","CD20","CD3","CD31","CD4","CD45RA","CD68","FoxP3","PanCK","aSMA","CD45RO","CD14","CD209","CD16","CD163","pS6","CD11b","Neurofilamen","pMK2","CD8a","VEGF","pCREB","Ki67","Collagen1","CD44","CD66a","HLADR","SOX9","TenascinC","Podoplanin","Desmin"
"Stanford_OSCC_1",0.617990391194737,0.47824441691069,0.401656710041199,0.713614147482924,0.450915467145832,0.711241049408619,0.615338003942048,0.595281738706479,0.493904579168308,0.468875215203521,0.333766776491172,0.62587424909898,0.559176201700879,0.539623049571246,0.688323922024359,0.550191083131341,0.492596694896899,0.627656092515174,0.690098787939759,0.435580839463642,0.660859825188866,0.601107823652154,0.573986362537275,0.5384781285242,0.626126483488164,0.614682250027643,0.448109720306227,0.494314385334372,0.468255581920653,0.603197044821658,0.513107749055731,0.546444542637002
"Stanford_OSCC_2",0.627562119927838,0.502514311530915,0.433824141868413,0.756877435863279,0.493059296921078,0.740455554611376,0.616100336523047,0.608728162886691,0.53564136018437,0.485587726300441,0.395122296115707,0.655977127455142,0.531091447956277,0.570433475574405,0.701332684719448,0.595267509799887,0.471582904438001,0.643899250622841,0.658677689952399,0.435743938337089,0.668201491538611,0.598263326273697,0.553340379025367,0.575286398920516,0.708192973982612,0.606184803326514,0.461003320145186,0.465904796527848,0.455657904790432,0.631679968792633,0.495878080886505,0.549753056252317
"Stanford_OSCC_24",0.598064138641596,0.392474941670612,0.372131275305102,0.645647423015224,0.360894170528217,0.636652321027814,0.525622961798332,0.521547156621377,0.421418786543078,0.412251370678574,0.295964285685988,0.576700800837169,0.439632379117385,0.47229055847205,0.647596271909675,0.490435582147672,0.435912521690161,0.574687663829285,0.537810932925354,0.384574750563608,0.600327263958974,0.507070054088755,0.580280862454147,0.370912714211916,0.407935578545576,0.522293854126233,0.384035905628056,0.430166033595685,0.334857870796183,0.463689257702664,0.368814564166461,0.45471301070499
"Stanford_OSCC_3",0.641794455258533,0.488794369242877,0.500349709615006,0.72574395824486,0.467185387889875,0.780290569156087,0.734783973619562,0.640055919418095,0.634022386588645,0.467734309674182,0.450487715460535,0.74436992764675,0.608135875918382,0.641020475443946,0.742403291920355,0.664519714137043,0.554434427789092,0.756692201070818,0.714724550817782,0.487132657548039,0.691540812570782,0.626917639644664,0.611009993552124,0.5410123227312,0.628353331057113,0.702095991356619,0.489357537823799,0.498998371886543,0.540796161445512,0.705083885252884,0.547771396887584,0.51259619136668
