"Staining_condition","CD11c","CD138","CD15","CD20","CD3","CD31","CD45","CD45RA","CD68","CD8","Cytokeratin","FoxP3","H3K27ac","H3K27me3","Pax5","CD11b","ToxTox2","Ki67","HLADRA","pS6","PD1","GranzymeB","IDO1","NAKATPase"
"BIDMC_Tonsil_1",0.205142813762569,0.0864754872396921,0.533986768734295,0.170046224143123,0.239024894684445,0.0974999370801856,0.114315039129032,0.13906892086914,0.136867127836704,0.402466420087189,0.106017894211107,0.116268574851032,0.0859099366574169,0.108052986379637,0.159329743753592,0.21427802146561,0.166902228720566,0.352010306128602,0.12933518475757,0.107397953673541,0.210128121912969,0.109904783200947,0.0615911164246714,0.0615207564403133
"BIDMC_Tonsil_2",0.224944613220448,0.105327525109419,0.594047242102841,0.191259295115775,0.266764086797065,0.137811453815627,0.128872129238426,0.147823469760544,0.159064555528645,0.409664222999403,0.145009727004236,0.145232377901272,0.122822169573534,0.128916245489189,0.171760372899842,0.247069750188599,0.189281612322365,0.353295169223707,0.142559143997552,0.135856470506147,0.240498157828926,0.125410893482417,0.077467325365586,0.0914392642017375
"BIDMC_Tonsil_3",0.217261809546739,0.097219712377204,0.625809287566302,0.183126334055272,0.278242684262282,0.110899975097099,0.12080634638713,0.147434724359502,0.136514963058889,0.4491148672158,0.113557208697268,0.122739539032585,0.0979038336147226,0.116049285603525,0.166275286605006,0.237284263886688,0.18029961869297,0.367183607115565,0.134570619415762,0.112651304303646,0.225017383043158,0.117727718470181,0.0636769067913356,0.0687784453978038
"BIDMC_Tonsil_4",0.49269879166922,0.139769415967073,0.540311573353094,0.21973736311428,0.347109619448306,0.152537207415499,0.167890105876736,0.196990051728877,0.206215673898481,0.659223101110365,0.112333161992406,0.310112657161799,0.139347157844611,0.140018675757613,0.18683789736631,0.442189291157473,0.253101140857641,0.479332255910731,0.146101315003216,0.135653026411084,0.391746677561029,0.263784498901055,0.218269382581596,0.132212381107427
