"Staining_condition","CD20","CD4","CD45","CD8","CD3e","CD34","MHCII","Iba1","S100b","Vimentin"
"Roche_10",0.51219773206268,0.589296689570513,0.342950114316884,0.236379587379428,0.238248344093953,0.62695734247708,0.56651953697279,0.724910468186217,0.00857834517690248,0.63038398810449
"Roche_14",0.609161191632339,0.774463974206862,0.618555924307438,0.473419719478336,0.582282132321692,0.699971011554724,0.658974949506194,0.762344143452717,0.0842835940190398,0.677990927253343
"Roche_18",0.654474813307569,0.721302423816494,0.563452939943216,0.470961177760749,0.578049813410892,0.685376409966149,0.535762794550926,0.726807600704507,0.0696312776766191,0.63347523039315
"Roche_2",0.266608693207598,0.67971000967148,0.364796676596278,0.22167957478481,0.246215833062317,0.51825098031275,0.572147723309553,0.726531229970928,0.0341933652318743,0.661588745455937
"Roche_22",0.423566140997088,0.72736018700241,0.591101769072695,0.584200827111867,0.639530988934406,0.6860236947439,0.566636326415051,0.714418166528506,0.0477503739888215,0.709729226048845
"Roche_6",0.262193054820591,0.719230044769361,0.503768731158635,0.296210072590314,0.309499703340612,0.609201745975585,0.658711488076155,0.735874451725303,0.0947470281582941,0.657807290972568
