"Staining_condition","CD11c","CD15","CD20","CD3","CD31","CD4","CD45RA","CD68","CD8","aSMA","CD45RO","CD14","CD209","CD16","CD163","pS6","CD11b","FOXP3","Neurofilament","pMK2","VEGF","pCREB","Ki67","Collagen","CD44","CD66a","HLADR","SOX9","TenascinC","PanCK","Podoplanin","Desmin"
"Stanford_OSCC_Citra_20min",0.564847577182687,0.418427677940869,0.889163493426954,0.615181484325776,0.390800481513367,0.56412185185902,0.510111047050306,0.579982421172892,0.53311917967561,0.349074845486621,0.589209046870011,0.463121323588425,0.424817208147213,0.569917789892816,0.488114084775834,0.497867039450953,0.431918093937363,0.402389259270802,0.465024346235802,0.359715751391889,0.34281071494737,0.602918107352322,0.877971002169877,0.502550896397399,0.520104936344962,0.725863528273685,0.495792878023772,0.349630324118975,0.47201418031813,0.38570381348477,0.388044514842769,0.373712243788903
"Stanford_OSCC_Tris_10min",0.624027123222367,0.543494502589453,0.926514274945941,0.717850008974603,0.523581095290068,0.768283920195113,0.767321521200376,0.707347367729658,0.670098288275092,0.545868657700592,0.770488202802658,0.657120070001852,0.663527241671651,0.71361597766347,0.705813256012612,0.628727245775868,0.71456460630538,0.662443765502598,0.72179119218141,0.49865505662303,0.539437603608582,0.655933793897603,0.925747422314869,0.73253813006585,0.73115407445553,0.795159391532667,0.576312173446243,0.625905679268346,0.764944256949898,0.456978939158701,0.601938807769287,0.463528847745103
"Stanford_OSCC_Tris_20min",0.600924163842757,0.540511085112451,0.905816071123421,0.716543750388003,0.508693126949235,0.679552879025835,0.648008850561421,0.669458476066275,0.630771476076666,0.411422325461572,0.64767144184983,0.608099728243851,0.537078556185011,0.64217635154247,0.578316596198156,0.56714086500323,0.53076830636892,0.498895440647334,0.694955641796208,0.432863056288583,0.504393774493099,0.594938373670983,0.926999062385895,0.736499842125772,0.636463698748539,0.77952434834353,0.579026300326816,0.533783805881726,0.661306919039926,0.467717043015525,0.563333347273639,0.518564057096926
"Stanford_OSCC_Tris_40min",0.599384513517493,0.563258313439695,0.910676379187511,0.758277035424735,0.54347760720404,0.705704646292119,0.63600944340306,0.671491933742077,0.628022609038007,0.477405506296682,0.664471159300954,0.563464015987374,0.569879209273852,0.646259325009908,0.623554054646771,0.534180269386999,0.542079292031774,0.531835544071236,0.64382449164172,0.423800332728769,0.48869287458814,0.558156410158201,0.93345868105338,0.796757633951135,0.61524500438832,0.782812971716777,0.53263144655716,0.499449250561461,0.683135926293206,0.482913588949887,0.531824351176696,0.519161319985642
