"Staining_condition","CD8","CD3e","CD20","CD34","CD45","CD4","Iba1","Ki67","S100b","PanCytokeratin","CD68","Vimentin","Total_Z_Rank"
"Roche_Tonsil_2",3,1,1,2,2,1,1,3,3,1,1,1,20
"Roche_Tonsil_3",1,3,3,3,3,2,3,1,1,2,2,2,26
"Roche_Tonsil_1",2,2,2,1,1,3,2,2,2,4,3,3,27
"Roche_Tonsil_24",4,4,4,4,4,4,4,4,4,3,4,4,47
