filename,sample_name
CCPA-250915-4_20-Plex Sequential IF_Citra 20min,ASTAR_Tonsil_Citra_20min
CCPA-250915-1_20-Plex Sequential IF_Tris 10min,ASTAR_Tonsil_Tris_10min
CCPA-250915-2_20-Plex Sequential IF_Tris 20min,ASTAR_Tonsil_Tris_20min
CCPA-250915-3_20-Plex Sequential IF_Tris 40min,ASTAR_Tonsil_Tris_40min
