"Staining_condition","CD31","CD4","CD68","CK","CD163","CD8a","PDL1","CD3e","CD45RO","PD1","aSMA","HLA ABC","Vimentin"
"Stanford_Orion_Endometrium_Citra_20min",0.190410684916077,NA,0.242947359635422,0.318695074345003,0.35028000845165,0.32352573195999,NA,0.188568726508636,NA,NA,0.184360767398072,0.524223380084466,0.264955158384979
"Stanford_Orion_Endometrium_Tris_10min",0.120948121234528,0.223854348893818,0.186709036141487,0.238265122400545,0.275393850416645,0.349298904164017,0.190015839280418,0.151169011291572,NA,0.22568465819348,0.156915493067678,0.50682826854349,0.312863833945614
"Stanford_Orion_Endometrium_Tris_20min",0.163061833342118,0.365701831651966,0.201736725339456,0.313849786374603,0.309282856522396,0.432139243720979,0.291913285426059,0.227505164593517,0.457814224995871,0.332830143046997,0.208090355122513,0.715091289922903,0.446856200771963
"Stanford_Orion_Endometrium_Tris_40min",0.248319507378813,0.558126604534163,0.306563772852678,0.473298582453387,0.402215165687131,0.527256829232541,0.492033019609871,0.341740318683365,0.56911764952682,0.522426397636591,0.291937469961016,0.819651043243709,0.571408063838039
