"Staining_condition","CD20","CD3","CD4","CD45","CD68","CD8","Granzyme B","FOXP3","MHCII","CD206","CD86","Ki67","aSMA","PDL1","Vimentin","CD27","CK","PD1"
"UK_Tonsil_Citra_20min",0.570693131770049,0.598792564819405,0.58796734487984,0.686840623603858,0.265884813279913,0.475203383783152,0.471321012486891,0.368933656229315,0.603088821535844,0.443948544897006,0.495772262735254,0.431556605450855,0.388804421709705,0.400351265429431,0.589042426881399,0.664767395288407,0.341921142466861,0.441400163897439
"UK_Tonsil_Tris_10min",0.5738453010772,0.565704944133881,0.540586870280254,0.715414418389475,0.409101991162287,0.542828790897235,0.503558682484066,0.37637499247294,0.617848050634112,0.5072214071181,0.455796884408689,0.424861718211406,0.495854099195424,0.36576119260202,0.594946992451557,0.604973797578889,0.413675161465696,0.385623360967666
"UK_Tonsil_Tris_20min",0.606538877345442,0.624532267175063,0.621692519418855,0.740236876153215,0.466492535974319,0.574156083124211,0.557523987964155,0.389912916844257,0.640142063125812,0.571625157071919,0.511180200192429,0.484282912783442,0.533726166895262,0.423804789391801,0.66143699420914,0.645807504804265,0.443898816741545,0.4334162351943
"UK_Tonsil_Tris_40min",0.566402361231057,0.555777911294376,0.532405533001629,0.64229966043735,0.38353233754109,0.525405465425559,0.41371792739682,0.213529707992859,0.599939585084387,0.44671890562575,0.380825200094127,0.501468959392391,0.470806603994315,0.321986994224836,0.673720509299121,0.5070239105278,0.405473177153244,0.346702965791681
