"Staining_condition","Total_Markers","Working_Markers","Excluded_Markers","NonWorking_Markers","Total_Score","Average_Score","Average_Rank","Penalty_Count"
"Roche_Slide14_Scan1",10,10,0,0,19,1.9,1.9,0
"Roche_Slide22_Scan1",10,10,0,0,25,2.5,2.5,0
"Roche_Slide6_Scan1",10,10,0,0,34,3.4,3.4,0
"Roche_Slide18_Scan1",10,10,0,0,34,3.4,3.4,0
"Roche_Slide2_Scan1",10,10,0,0,46,4.6,4.6,0
"Roche_Slide10_Scan1",10,10,0,0,52,5.2,5.2,0
