"Staining_condition","CD8","CD3e","CD20","CD34","CD45","CD4","MHCII","Iba1","S100b","Vimentin"
"Roche_Slide10_Scan1",6,6,3,5,6,6,3,5,6,6
"Roche_Slide14_Scan1",3,2,2,1,1,1,2,1,3,3
"Roche_Slide18_Scan1",2,3,1,3,2,5,6,6,1,5
"Roche_Slide22_Scan1",1,1,4,2,3,3,4,2,4,1
"Roche_Slide2_Scan1",5,5,6,6,5,4,5,3,5,2
"Roche_Slide6_Scan1",4,4,5,4,4,2,1,4,2,4
