"Staining_condition","Total_Markers","Working_Markers","Excluded_Markers","NonWorking_Markers","Total_Score","Average_Score","Average_Rank","Penalty_Count"
"Stanford_OSCC_3",32,32,0,0,45,1.40625,1.40625,0
"Stanford_OSCC_2",32,32,0,0,59,1.84375,1.84375,0
"Stanford_OSCC_1",32,32,0,0,92,2.875,2.875,0
"Stanford_OSCC_24",32,32,0,0,124,3.875,3.875,0
