"Staining_condition","PanCK","CD68","aSMA","CD45RO","CD45RA","CD14","CD209","CD16","CD163","pS6","CD11b","FoxP3","CD4","Neurofilamen","pMK2","CD31","CD20","CD8a","VEGF","CD3","pCREB","Ki67","Collagen1","CD44","CD66a","CD11c","HLADR","SOX9","TenascinC","CD15","Podoplanin","Desmin"
"Stanford_OSCC_1",0.309270002992433,0.200823197201445,0.39456587239628,0.235046536654585,0.151215236401733,0.250092969286623,0.194126131128484,0.183141391211772,0.248458846084001,0.343376595696368,0.152687684141869,0.25612910357418,0.184678778588404,0.0953969561191948,0.211999498219004,0.293202126337994,0.361268625198877,0.190761704807922,0.0964823440469766,0.182945544046228,0.23533143477466,0.260689691512929,0.179261821505345,0.188248614953054,0.287380533531079,0.198677651931625,0.349659894062391,0.209030623265682,0.17774168330319,0.243479441297255,0.2466212630751,0.219910451542282
"Stanford_OSCC_2",0.209862045671577,0.167084920506852,0.318370322035071,0.194548106160685,0.148472989364691,0.263538268383153,0.199218404791346,0.180973182189544,0.238617087285606,0.296469990565356,0.16004834870379,0.213115503533881,0.174505653635866,0.0961726315129056,0.211778470349719,0.275196019315967,0.356595311817202,0.179123032512463,0.0919065241090514,0.170552228332865,0.217179089468457,0.184074875441044,0.137692918784009,0.154701578869392,0.223500825623338,0.164536604774395,0.278211468553933,0.22430068316708,0.167850284040333,0.240557571646355,0.217120279628612,0.214055954585974
"Stanford_OSCC_24",0.269901854374659,0.279893196173396,0.468483252135119,0.295036113172986,0.251926554445532,0.367041601472413,0.218768879661182,0.212190943982413,0.28109383424406,0.437801566001666,0.18966040113304,0.247334501487155,0.197448645385061,0.161096899865693,0.232722509069247,0.406147954761915,0.514671819341681,0.293818316080566,0.138121282724672,0.230070006252059,0.209332556283526,0.442711016665208,0.279088936288608,0.248972912447311,0.387480630542264,0.22869494257163,0.396464544490181,0.279350426015089,0.229937984095012,0.289289529712084,0.401254719784708,0.241400391029305
"Stanford_OSCC_3",0.254604752336882,0.181367177527662,0.23042998430619,0.147020475352171,0.0808122459870994,0.185038930314318,0.0899901962227081,0.118768283995163,0.11183275180941,0.268300009132886,0.0755454566247294,0.146364874178989,0.113714585347121,0.0752246524371111,0.171296513900363,0.259056497853318,0.248761920851898,0.16421354932449,0.089466227752555,0.157603670554619,0.207576989300076,0.242538730462838,0.194172875579496,0.159334160150611,0.248235790927518,0.170352681120074,0.314531835880058,0.167935831964224,0.158771622356058,0.250662408884299,0.227586900275345,0.218123841303734
