"Staining_condition","Total_Markers","Working_Markers","Excluded_Markers","NonWorking_Markers","Total_Score","Average_Score","Average_Rank","Penalty_Count"
"ASTAR_COMET_CRC_1",15,15,0,0,28,1.86666666666667,1.86666666666667,0
"ASTAR_COMET_CRC_24",15,15,0,0,31,2.06666666666667,2.06666666666667,0
"ASTAR_COMET_CRC_2",15,15,0,0,40,2.66666666666667,2.66666666666667,0
"ASTAR_COMET_CRC_3",15,15,0,0,51,3.4,3.4,0
