"Staining_condition","CD20","CD3","CD4","CD45","CD68","CD8","Granzyme B","FOXP3","MHCII","CD206","CD86","Ki67","aSMA","PDL1","Vimentin","CD27","CK","PD1"
"UK_Skin_Citra_20min",0.720484205432185,0.487375845511054,0.470609043507998,0.849118309366759,0.36215240635907,0.822932598342584,0.471013512629926,0.267571226861514,0.739657146040076,0.529632060126442,0.498964152625366,0.445273632209025,0.767472826244444,0.389815149070519,0.771445919370909,0.587774322647544,0.493906600670693,0.39491239268851
"UK_Skin_Tris_10min",0.752951399803622,0.519406952150119,0.460194823830763,0.892366773835644,0.555777989300317,0.8691427232153,0.558908393128049,0.316682424941823,0.793106474675979,0.65082865895994,0.564331645335707,0.47977152819557,0.825250507796792,0.401639164170413,0.79919194184812,0.581472840798766,0.548157592894483,0.405368275838878
"UK_Skin_Tris_20min",0.754500664057998,0.564951969046898,0.539498301557501,0.890967454056207,0.601071608342799,0.870094867349398,0.605069339835323,0.261097805368959,0.788946004474405,0.672257616326909,0.606917799666841,0.507523882408843,0.835670270332096,0.477423791989125,0.81625411017959,0.628643967422272,0.591714840183771,0.460785838666848
"UK_Skin_Tris_40min",0.779138675688347,0.592654587836815,0.548618712590742,0.900150265005813,0.56100076925944,0.882958654847805,0.595514808982795,0.371739420025156,0.817072137742731,0.678314888683507,0.598533349243299,0.569919721941588,0.800718417681251,0.476513024256657,0.842928189021877,0.624408944177209,0.687326474550079,0.458934288111701
