"Staining_condition","CD68","CD163","CD8a","CD4","PDL1","CD3e","CD45RO","PD1","CD31","SMA","HLAABC","Vimentin"
"Stanford_Orion_LN_CA20min",0.36952592974112,0.716390971059569,0.616439081199697,0.487482009328207,0.510960517974521,0.509416070360364,NA,0.528865931834964,0.714098323635434,0.735705673779119,0.30400634061296,0.469609848937754
"Stanford_Orion_LN_Tris10min",0.522873510628571,0.714088692645836,0.457209552520842,0.313833983002898,0.227764341988131,0.439565818347911,0.0944568511290895,0.204261280565116,0.602286557484056,0.463814561131237,0.224203911503543,0.424460188389736
"Stanford_Orion_LN_Tris20min",0.325138447422018,0.612334706874339,0.463007832512225,0.266680820369698,0.240989659937863,0.40416626690777,0.0832353089162166,0.222465387860098,0.522258403912566,0.443031139381712,0.205485046022883,0.331387209951044
"Stanford_Orion_LN_Tris40min",0.343692560596952,0.59760802488608,0.436849923449635,0.225585850736567,0.325689413919405,0.365947481582214,0.0949431397286166,0.184107271613724,0.501732855397341,0.428878724961676,0.19280190072657,0.280676758213698
