"Staining_condition","CD11c","CD15","CD20","CD3","CD31","CD45","CD45RA","CD68","CD8","FoxP3","H3K27ac","H3K27me3","Pax5","CD11b","ToxTox2","Ki67","HLADRA","pS6","PD1","GranzymeB","IDO1","NAKATPase"
"BIDMC_DLBCL_1",0.663368569960482,0.261470931574855,0.705129096577264,0.628578226672482,0.719782762803182,0.76223289916652,0.645877962872617,0.558126864269985,0.568364160065421,0.650025535757136,0.775113609642055,0.765593966973814,0.663659327358566,0.504808681761644,0.696686360459123,0.55282388004699,0.624901326039883,0.541668662013374,0.669107650455117,0.581197559873106,0.581634009363302,0.785991120244046
"BIDMC_DLBCL_2",0.718727957505631,0.310643077644018,0.700822755722989,0.702903947496242,0.754443514683796,0.787071089392737,0.692756201172883,0.593658754501004,0.642131705260474,0.75512465214389,0.820808254725295,0.74309069934866,0.714881538558869,0.635323889953664,0.787115674424308,0.632693311999419,0.635388330670225,0.648195169868166,0.755305849769345,0.634408469036403,0.643197323219018,0.817076419297084
"BIDMC_DLBCL_24",0.438657353139817,0.180289745839419,0.542880332158473,0.512848672442711,0.567312137718541,0.635467038556343,0.507200227095842,0.439048894045236,0.453224819876043,0.415176255511328,0.51449750710243,0.594947886497604,0.590630931555362,0.373306750282891,0.540795616864535,0.450783043375313,0.495259384782837,0.435723472224042,0.406994349486596,0.408857516365533,0.361366316975058,0.465143775420452
"BIDMC_DLBCL_3",0.666755689209813,0.264522560268163,0.690500622827761,0.617441666300006,0.717133193204403,0.760140969684282,0.645351889829828,0.559283262830289,0.572153065600932,0.689824287504578,0.785542469973146,0.745005652744602,0.676598678532237,0.551055602991137,0.718622613622762,0.56006602123116,0.614603137910799,0.565135774648927,0.665193145113571,0.590641849310107,0.609301694829995,0.785866879836263
