"Staining_condition","CD11c","CD15","CD20","CD3","CD31","CD45","CD45RA","CD68","CD8","FoxP3","H3K27ac","H3K27me3","Pax5","CD11b","ToxTox2","Ki67","HLADRA","pS6","PD1","GranzymeB","IDO1","NAKATPase"
"BIDMC_DLBCL_1",-0.462973572084323,0.287749045522162,-0.264128650517317,-0.295140020848848,-0.223180303500594,-0.434774541436989,-0.273559359385272,-0.428721298987766,-0.0631917319061645,-0.443470450757658,-0.40989839741846,-0.634381938955504,-0.25650384639683,0.282701515658481,-0.320909215663153,-0.325575909217083,-0.593656784077993,-0.0313563006383129,-0.467583368221903,-0.347035798905572,-0.32624831412476,-0.278408818534705
"BIDMC_DLBCL_2",-0.60467484038587,-1.25538714806571,-0.799607122682427,-0.944845046964494,-0.944975913747238,-0.794578935951234,-0.900652574034938,-0.66458824942594,-1.06072133430234,-0.648156331629095,-0.843694993542814,-0.601181955748624,-1.14007887175414,-0.959000242993015,-0.778146467239066,-0.972685225977781,-0.887515738562382,-1.07791893401476,-0.730482043872696,-0.708082699226966,-0.694152642649654,-0.793439791974969
"BIDMC_DLBCL_24",1.49561608669332,1.14451635205538,1.46060294239862,1.41099781869305,1.41320915997213,1.45846593822134,1.43108564226034,1.48921979111362,1.34913083584077,1.49117121050358,1.44362405384153,1.47592842163868,1.27240123472842,1.27934764317233,1.46809837596819,1.39248202919662,1.35822345887625,1.3362582993058,1.47369875989675,1.48190392547587,1.48259574008385,1.46288495823507
"BIDMC_DLBCL_3",-0.42796767422313,-0.176878249511825,-0.396867169198877,-0.171012750879714,-0.245052942724293,-0.229112460833116,-0.256873708840127,-0.395910242699916,-0.225217769632267,-0.399544428116828,-0.190030662880258,-0.24036452693455,0.124181483422546,-0.603048915837796,-0.369042693065972,-0.0942208940017555,0.122949063764123,-0.226983064652727,-0.275633347802146,-0.426785427343333,-0.46219478330944,-0.391036347725392
