"Staining_condition","Marker","CV","Is_Excluded"
"BIDMC_Slide1","CD3",0.135444625924079,FALSE
"BIDMC_Slide1","CD45",0.143585763690486,FALSE
"BIDMC_Slide1","CD15",0.0621205113040011,FALSE
"BIDMC_Slide1","CD4",NA,TRUE
"BIDMC_Slide1","CD8",0.113251986565837,FALSE
"BIDMC_Slide1","CD11b",NA,TRUE
"BIDMC_Slide1","Tox/Tox2",0.066810834148997,FALSE
"BIDMC_Slide1","CD20",0.146741703061248,FALSE
"BIDMC_Slide1","CD11c",0.0263472584637444,FALSE
"BIDMC_Slide1","H3K27me3",0.147218820547393,FALSE
"BIDMC_Slide1","Ki67",0.130810573800201,FALSE
"BIDMC_Slide1","HLADRA",0.142147023139107,FALSE
"BIDMC_Slide1","pS6",0.0808935338810868,FALSE
"BIDMC_Slide1","CD68",0.126341241665619,FALSE
"BIDMC_Slide1","FOXP3",0.089174763180271,FALSE
"BIDMC_Slide1","PD1",0.0449302293648652,FALSE
"BIDMC_Slide1","Pax5",0.261335344764838,FALSE
"BIDMC_Slide1","H3K27ac",0.0674436694510237,FALSE
"BIDMC_Slide1","Granzyme B",0.0634864557058914,FALSE
"BIDMC_Slide1","CD31",0.049429021975364,FALSE
"BIDMC_Slide1","IDO1",0.0383354022159375,FALSE
"BIDMC_Slide1","CD138",0.145934995222692,FALSE
"BIDMC_Slide1","Na/KATPase",0.057955844880478,FALSE
"BIDMC_Slide1","CD45RA",0.193923262317022,FALSE
"BIDMC_Slide1","CK",0.228145493718819,FALSE
"BIDMC_Slide10","CD3",0.1503370792618,FALSE
"BIDMC_Slide10","CD45",0.173226993545061,FALSE
"BIDMC_Slide10","CD15",0.0620516882137019,FALSE
"BIDMC_Slide10","CD4",0.163951652858734,FALSE
"BIDMC_Slide10","CD8",0.0831246724869477,FALSE
"BIDMC_Slide10","CD11b",0.0736838486911616,FALSE
"BIDMC_Slide10","Tox/Tox2",0.0990407874761652,FALSE
"BIDMC_Slide10","CD20",0.109245575142202,FALSE
"BIDMC_Slide10","CD11c",0.0577699239233813,FALSE
"BIDMC_Slide10","H3K27me3",0.192011364452728,FALSE
"BIDMC_Slide10","Ki67",0.141581658073121,FALSE
"BIDMC_Slide10","HLADRA",0.152528316245499,FALSE
"BIDMC_Slide10","pS6",0.10007849481367,FALSE
"BIDMC_Slide10","CD68",0.119072524457594,FALSE
"BIDMC_Slide10","FOXP3",0.0942035080731191,FALSE
"BIDMC_Slide10","PD1",0.0868227100536551,FALSE
"BIDMC_Slide10","Pax5",0.205635354624697,FALSE
"BIDMC_Slide10","H3K27ac",0.118855202847051,FALSE
"BIDMC_Slide10","Granzyme B",0.119817866610017,FALSE
"BIDMC_Slide10","CD31",0.109087463207859,FALSE
"BIDMC_Slide10","IDO1",0.143835882447704,FALSE
"BIDMC_Slide10","CD138",0.226276720508763,FALSE
"BIDMC_Slide10","Na/KATPase",0.119884402917116,FALSE
"BIDMC_Slide10","CD45RA",0.264395514984361,FALSE
"BIDMC_Slide10","CK",0.265801586789176,FALSE
"BIDMC_Slide11","CD3",0.175484423478935,FALSE
"BIDMC_Slide11","CD45",0.150466044275361,FALSE
"BIDMC_Slide11","CD15",0.162091666297696,FALSE
"BIDMC_Slide11","CD4",0.139868817942124,FALSE
"BIDMC_Slide11","CD8",0.133162535292153,FALSE
"BIDMC_Slide11","CD11b",0.686558419824661,FALSE
"BIDMC_Slide11","Tox/Tox2",0.122875605769365,FALSE
"BIDMC_Slide11","CD20",0.146365426908118,FALSE
"BIDMC_Slide11","CD11c",0.0952323329791439,FALSE
"BIDMC_Slide11","H3K27me3",0.207043384296615,FALSE
"BIDMC_Slide11","Ki67",0.14046753676483,FALSE
"BIDMC_Slide11","HLADRA",0.152935407145068,FALSE
"BIDMC_Slide11","pS6",0.0948734498288225,FALSE
"BIDMC_Slide11","CD68",0.186540579814971,FALSE
"BIDMC_Slide11","FOXP3",0.337458089338846,FALSE
"BIDMC_Slide11","PD1",0.103910292008613,FALSE
"BIDMC_Slide11","Pax5",0.142832833056844,FALSE
"BIDMC_Slide11","H3K27ac",0.0912123322774907,FALSE
"BIDMC_Slide11","Granzyme B",0.12755704599883,FALSE
"BIDMC_Slide11","CD31",0.107845594258604,FALSE
"BIDMC_Slide11","IDO1",0.152945131850182,FALSE
"BIDMC_Slide11","CD138",0.140343060700615,FALSE
"BIDMC_Slide11","Na/KATPase",0.0974572335718677,FALSE
"BIDMC_Slide11","CD45RA",0.163516147659512,FALSE
"BIDMC_Slide11","CK",0.241702625013757,FALSE
"BIDMC_Slide12","CD3",0.113914827923295,FALSE
"BIDMC_Slide12","CD45",0.199944429501631,FALSE
"BIDMC_Slide12","CD15",0.0958584198350488,FALSE
"BIDMC_Slide12","CD4",0.283170217600321,FALSE
"BIDMC_Slide12","CD8",0.108429618275761,FALSE
"BIDMC_Slide12","CD11b",0.06916479224739,FALSE
"BIDMC_Slide12","Tox/Tox2",0.127826754996531,FALSE
"BIDMC_Slide12","CD20",0.104688216173535,FALSE
"BIDMC_Slide12","CD11c",0.105402441515788,FALSE
"BIDMC_Slide12","H3K27me3",0.237207054887598,FALSE
"BIDMC_Slide12","Ki67",0.131098486224222,FALSE
"BIDMC_Slide12","HLADRA",0.157725867780013,FALSE
"BIDMC_Slide12","pS6",0.170961661667136,FALSE
"BIDMC_Slide12","CD68",0.122346188855226,FALSE
"BIDMC_Slide12","FOXP3",0.159529778138328,FALSE
"BIDMC_Slide12","PD1",0.183802304345295,FALSE
"BIDMC_Slide12","Pax5",0.142686867553215,FALSE
"BIDMC_Slide12","H3K27ac",0.167492979984382,FALSE
"BIDMC_Slide12","Granzyme B",0.152143597809702,FALSE
"BIDMC_Slide12","CD31",0.146516831527938,FALSE
"BIDMC_Slide12","IDO1",0.212326840508122,FALSE
"BIDMC_Slide12","CD138",0.190106824582691,FALSE
"BIDMC_Slide12","Na/KATPase",0.184140617082651,FALSE
"BIDMC_Slide12","CD45RA",0.130659327570494,FALSE
"BIDMC_Slide12","CK",0.272691591427652,FALSE
"BIDMC_Slide13","CD3",0.0938727357649033,FALSE
"BIDMC_Slide13","CD45",0.110624656262707,FALSE
"BIDMC_Slide13","CD15",0.0547691726613371,FALSE
"BIDMC_Slide13","CD4",NA,TRUE
"BIDMC_Slide13","CD8",0.057590567628319,FALSE
"BIDMC_Slide13","CD11b",0.0286472370110344,FALSE
"BIDMC_Slide13","Tox/Tox2",0.0571665154899428,FALSE
"BIDMC_Slide13","CD20",0.0672761630872461,FALSE
"BIDMC_Slide13","CD11c",0.0291037858174083,FALSE
"BIDMC_Slide13","H3K27me3",0.152320243168328,FALSE
"BIDMC_Slide13","Ki67",0.0958024608206301,FALSE
"BIDMC_Slide13","HLADRA",0.117301941952572,FALSE
"BIDMC_Slide13","pS6",0.0601808609932215,FALSE
"BIDMC_Slide13","CD68",0.0624019303206615,FALSE
"BIDMC_Slide13","FOXP3",0.0188136676643741,FALSE
"BIDMC_Slide13","PD1",0.0510407566216737,FALSE
"BIDMC_Slide13","Pax5",0.150865152196995,FALSE
"BIDMC_Slide13","H3K27ac",0.0729586424519864,FALSE
"BIDMC_Slide13","Granzyme B",0.0310038925140919,FALSE
"BIDMC_Slide13","CD31",0.0719961156079172,FALSE
"BIDMC_Slide13","IDO1",0.0341408680920337,FALSE
"BIDMC_Slide13","CD138",0.122547364329752,FALSE
"BIDMC_Slide13","Na/KATPase",0.0531928951387616,FALSE
"BIDMC_Slide13","CD45RA",0.166104260151838,FALSE
"BIDMC_Slide13","CK",0.247516083588683,FALSE
"BIDMC_Slide14","CD3",0.123635996628134,FALSE
"BIDMC_Slide14","CD45",0.151192553852962,FALSE
"BIDMC_Slide14","CD15",0.0500391109867729,FALSE
"BIDMC_Slide14","CD4",0.141851996888353,FALSE
"BIDMC_Slide14","CD8",0.063674886044113,FALSE
"BIDMC_Slide14","CD11b",0.0335652823842888,FALSE
"BIDMC_Slide14","Tox/Tox2",0.0756092755373094,FALSE
"BIDMC_Slide14","CD20",0.077237189209071,FALSE
"BIDMC_Slide14","CD11c",0.0419898865490897,FALSE
"BIDMC_Slide14","H3K27me3",0.159798044797303,FALSE
"BIDMC_Slide14","Ki67",0.114981185958835,FALSE
"BIDMC_Slide14","HLADRA",0.125649652837346,FALSE
"BIDMC_Slide14","pS6",0.0849493090281472,FALSE
"BIDMC_Slide14","CD68",0.092888594075322,FALSE
"BIDMC_Slide14","FOXP3",0.0360495426850693,FALSE
"BIDMC_Slide14","PD1",0.0588361309637126,FALSE
"BIDMC_Slide14","Pax5",0.167621700156471,FALSE
"BIDMC_Slide14","H3K27ac",0.10077937383565,FALSE
"BIDMC_Slide14","Granzyme B",0.0767344389755739,FALSE
"BIDMC_Slide14","CD31",0.0896819258481022,FALSE
"BIDMC_Slide14","IDO1",0.112999387625209,FALSE
"BIDMC_Slide14","CD138",0.172996306861907,FALSE
"BIDMC_Slide14","Na/KATPase",0.106706831511315,FALSE
"BIDMC_Slide14","CD45RA",0.233342121006681,FALSE
"BIDMC_Slide14","CK",0.23870364048146,FALSE
"BIDMC_Slide15","CD3",0.0971793059716,FALSE
"BIDMC_Slide15","CD45",0.129894397455981,FALSE
"BIDMC_Slide15","CD15",0.0742339989773401,FALSE
"BIDMC_Slide15","CD4",0.121071044680338,FALSE
"BIDMC_Slide15","CD8",0.0773645153086114,FALSE
"BIDMC_Slide15","CD11b",0.0353370500679254,FALSE
"BIDMC_Slide15","Tox/Tox2",0.0927133647359205,FALSE
"BIDMC_Slide15","CD20",0.0713762000518895,FALSE
"BIDMC_Slide15","CD11c",0.0525211371070963,FALSE
"BIDMC_Slide15","H3K27me3",0.169079998314281,FALSE
"BIDMC_Slide15","Ki67",0.103064472160568,FALSE
"BIDMC_Slide15","HLADRA",0.127322003029411,FALSE
"BIDMC_Slide15","pS6",0.0805830960443706,FALSE
"BIDMC_Slide15","CD68",0.098139403489087,FALSE
"BIDMC_Slide15","FOXP3",0.040647139908604,FALSE
"BIDMC_Slide15","PD1",0.0649775632273004,FALSE
"BIDMC_Slide15","Pax5",0.11511486545009,FALSE
"BIDMC_Slide15","H3K27ac",0.0785901406884652,FALSE
"BIDMC_Slide15","Granzyme B",0.0566807441056994,FALSE
"BIDMC_Slide15","CD31",0.0830018005185368,FALSE
"BIDMC_Slide15","IDO1",0.109981128664888,FALSE
"BIDMC_Slide15","CD138",0.105705442783872,FALSE
"BIDMC_Slide15","Na/KATPase",0.0821384544467061,FALSE
"BIDMC_Slide15","CD45RA",0.133550134848772,FALSE
"BIDMC_Slide15","CK",0.22076023101541,FALSE
"BIDMC_Slide16","CD3",0.0778158128609852,FALSE
