"Staining_condition","CD20","CD4","CD45","CD68","CD8","CD3e","CD34","Iba1","Ki67","S100b","PanCytokeratin","Vimentin"
"Roche_intestine_1",0.753947159354829,0.793631762875404,0.760227392461178,0.694675694735464,0.56075832295655,0.673286619809068,0.551755897094013,0.767399219552658,0.402743796385985,0.331650879216269,0.525714668780535,0.602784189315313
"Roche_intestine_2",0.770919278566311,0.80955048045772,0.761676150126602,0.704901460493723,0.605404360210495,0.67985269142746,0.567787077730385,0.815187436328988,0.37974265481632,0.276945833001859,0.669565771438164,0.714908321386804
"Roche_intestine_24",0.527166406123926,0.552270205154263,0.509992931601326,0.536601591706946,0.328861903582768,0.551637704802644,0.380449793775603,0.448552192363978,0.192660182916633,0.176522269070683,0.521219359576026,0.471714468044824
"Roche_intestine_3",0.766699049231067,0.798956439096998,0.769739695095563,0.713746299632297,0.606345104974041,0.652422998674394,0.53503897764573,0.734327358626473,0.438638514198323,0.354881120713643,0.634064241402394,0.713732915743868
