"Staining_condition","CD20","CD3","CD4","CD45","CD68","CD8","FoxP3","MHC","CD206","CD86","Ki67","SMA","PDL1","Vimentin","CD27","CK","GZMB","PD1"
"UKentucky_SCC_1",0.607941365197266,0.5450247364549,0.496129990103522,0.733053291081698,0.502512433172921,0.68608441454138,0.289280263748955,0.650394192192326,0.618844416312815,0.595237406903472,0.461489316111669,0.73000240447769,0.48546811857738,0.722011526650434,0.570226779515826,0.546103186044847,0.59466903699594,0.427732666957887
"UKentucky_SCC_2",0.646706487395373,0.585214247271362,0.511261998568811,0.760786769235073,0.476221699089781,0.720919196395436,0.431531013661183,0.699237226599373,0.647180599587526,0.611239268136392,0.527248118288077,0.69278806172313,0.502093553660913,0.76343056459897,0.571569436203712,0.64895949655178,0.60558787442821,0.439731234475088
"UKentucky_SCC_24",0.560104750193436,0.458011504952123,0.420772947179754,0.64771967645584,0.269673644562251,0.594332245922786,0.246604311670103,0.580093620650812,0.461950205517466,0.471358433024759,0.395475521255497,0.629258485125877,0.388176706279246,0.660875489953916,0.520839039382757,0.445372921061414,0.45403885730677,0.358711909341087
"UKentucky_SCC_3",0.600889822651659,0.497763826195522,0.417036823958492,0.72957010404268,0.453526643934567,0.677804472333209,0.320492310935533,0.652261920366884,0.589479904472094,0.546672681050521,0.432895856555698,0.71135856718676,0.411762496278277,0.697029202586671,0.518979195953452,0.501536337313036,0.54539571389272,0.376392907404895
