"Staining_condition","CD31","CD4","CD68","CD163","CD8a","PDL1","CD3e","CD45RO","PD1","SMA","HLAABC","Vimentin"
"Stanford_Orion_LN_CA20min",0.250019194868651,0.365299254619583,0.286253895378103,0.204622272340926,0.267694537709209,0.171420602064813,0.42498900094054,NA,0.138844739146145,0.151625165905999,0.482975130350896,0.324402268123555
"Stanford_Orion_LN_Tris10min",0.297453045727783,0.526697412402967,0.305425265940267,0.252704657554573,0.397679530720769,0.456840124681675,0.490067390144379,0.75362873266715,0.380513171264072,0.247607662195934,0.507088115074794,0.338546004964554
"Stanford_Orion_LN_Tris20min",0.388875990300198,0.600991322099808,0.40016046561729,0.342658053047242,0.422266801734972,0.448796520539389,0.548053304889064,0.777566018599816,0.375831210832857,0.275580004671053,0.557076113838264,0.450595519367688
"Stanford_Orion_LN_Tris40min",0.409530925647655,0.6569690927684,0.404217280252007,0.371117114287857,0.440539419847256,0.447046970830638,0.621288339920834,0.827558659534166,0.455263899611187,0.302630435464208,0.611707843890165,0.50940491397792
