"Staining_condition","CD68","CD163","CD8a","CD4","PDL1","CD3e","CD45RO","PD1","CD31","SMA","HLAABC","Vimentin","Total_Z_Rank"
"Stanford_Orion_LN_Tris40min",2,1,1,1,3,1,3,1,1,1,1,1,17
"Stanford_Orion_LN_Tris20min",1,2,3,2,2,2,1,3,2,2,2,2,24
"Stanford_Orion_LN_Tris10min",4,3,2,3,1,3,2,2,3,3,3,3,32
"Stanford_Orion_LN_CA20min",3,4,4,4,4,4,NA,4,4,4,4,4,43
