"Staining_condition","CD11c","CD138","CD15","CD20","CD3","CD31","CD4","CD45","CD45RA","CD68","CD8","Granzyme B","H3K27ac","H3K27me3","Pax5","Tox/Tox2","CD11b","Ki67","HLADRA","pS6","FOXP3","PD1","IDO1","Na/KATPase","CK"
"BIDMC_Slide1",0.943397508413656,0.682447061575928,0.834355875066345,0.859158888915766,0.823188826763947,0.912131691450348,NA,0.835166319763492,0.781805320238766,0.757701453591449,0.847013328096769,0.852659544660967,0.901043354479753,0.810026692765006,0.702583973416721,0.883574490808057,NA,0.80253005052586,0.764362891414942,0.845389700494714,0.899380410562523,0.914679391731231,0.884203241527214,0.91670661707042,0.547287665674155
"BIDMC_Slide10",0.905219903578202,0.523873604712788,0.832989628280375,0.828804372766036,0.802501761984607,0.769916127698807,0.610504856135521,0.735004072060614,0.587169838130096,0.743168435919903,0.871574190402338,0.783566590672712,0.747580437306122,0.625571204064751,0.696792275118175,0.850103893002708,0.886324366365155,0.79241163312787,0.682493159569724,0.798412122403718,0.881495520268374,0.894550126532924,0.657365612208173,0.729146944578293,0.402099852490743
"BIDMC_Slide11",0.909846634748543,0.7074573553216,0.732465729206136,0.849684282566377,0.812425361118192,0.799790868236985,0.699910693428105,0.791022711097346,0.711195150557116,0.701613735560375,0.856419531593878,0.791728239310998,0.828658836993398,0.613233512556718,0.801976593026262,0.839574533781446,0.502638865046536,0.818096498670082,0.755744747661468,0.817946632108963,0.688983543080427,0.893897994614476,0.676875946970536,0.787457999083951,0.495506185215662
"BIDMC_Slide12",0.883802890991197,0.597774122183663,0.812649471913332,0.824242989717439,0.853845895084667,0.768847437265624,0.483548818632202,0.697344449250784,0.709949325430188,0.744375998629072,0.870792104870815,0.775175076186389,0.697200397178141,0.521670139484935,0.75829448409467,0.831389128909085,0.914664563299244,0.82138412213101,0.699922524686496,0.729293308509523,0.828169511158513,0.825063478576638,0.613211089987016,0.674553989420256,0.416254756393644
"BIDMC_Slide13",0.956559096942696,0.695085438715011,0.869086301213602,0.884483219406672,0.887182287682871,0.843254217268443,NA,0.808360803726134,0.689421648409124,0.83101299850213,0.918269798143055,0.899573561532643,0.845892930716368,0.649633027940176,0.79776918769784,0.913332674977961,0.947927931958671,0.850531516077027,0.735188812001929,0.866857883252627,0.965403753837872,0.95133156792122,0.862360172007073,0.851456450142004,0.465068734674261
"BIDMC_Slide14",0.917490996936011,0.575574637952866,0.849987211943312,0.850521552428633,0.83647560110688,0.798452897433341,0.649734419920656,0.769175155842985,0.601128374183528,0.758397569821199,0.888252968447826,0.814125987334324,0.766174820593244,0.656951461899346,0.7253708592897,0.870806011789017,0.920640696945645,0.818667807945954,0.708862639600812,0.820781793358329,0.911862974329837,0.920146157996776,0.683282909023743,0.749762067584705,0.434317072492441
"BIDMC_Slide15",0.934491000207335,0.736810994466629,0.829889595526628,0.896404316487805,0.880620710450759,0.828357416802772,0.724824246856218,0.812978406651752,0.726146291156158,0.766367735205105,0.89991275247957,0.857377117721873,0.833308555129562,0.643313607860209,0.821863730723166,0.869297626623945,0.932565341803416,0.849132957799894,0.782241211321505,0.831098773185645,0.92872333233553,0.923938081423292,0.712173790456441,0.798781943674068,0.517600366692287
"BIDMC_Slide16",0.905345614645302,0.627522246986884,0.842299049482453,0.844400292449507,0.887239001916479,0.794290615743552,0.535839092318092,0.730576287124062,0.71201277639757,0.76426850048594,0.894165093002465,0.807749375026054,0.728854455503395,0.560470198480888,0.782125037202857,0.852087833724816,0.930866817266684,0.851832614323187,0.721519879835188,0.764270679457529,0.884719725929433,0.899724014801876,0.650678871721562,0.713949854584095,0.456777091149096
"BIDMC_Slide17",0.956585813900707,0.689260653838596,0.842750925256788,0.902710493974445,0.88195479121055,0.860879414574505,NA,0.843192623310219,0.683407606326774,0.819709522690706,0.905296630029886,0.893731413216693,0.883200907307218,0.721630849532167,0.786794929960706,0.903181230195803,0.928638375394432,0.844362155680741,0.796101070681383,0.857769014531362,0.964743903946274,0.949329451270793,0.857271048558073,0.858653212172722,0.453253828133717
"BIDMC_Slide18",0.914339483417575,0.604543137358536,0.821739480469923,0.854696776610197,0.840915715400991,0.809409250787997,0.72072352881862,0.792840587274427,0.644885794679463,0.743725776872691,0.868421026133197,0.828731515669594,0.787429138886472,0.699149742264284,0.722021934120843,0.868719548185989,0.898132422307952,0.814596749036713,0.736243143114466,0.826653034852257,0.927300015879906,0.921175667653491,0.728725488251572,0.783771566881395,0.402937634406548
