"Staining_condition","CD3","CD45","CD15","CD4","CD8","CD11b","Tox/Tox2","CD20","CD11c","H3K27me3","Ki67","HLADRA","pS6","CD68","FOXP3","PD1","Pax5","H3K27ac","Granzyme B","CD31","IDO1","CD138","Na/KATPase","CD45RA","CK"
"BIDMC_Slide1",0.135444625924079,0.143585763690486,0.0621205113040011,NA,0.113251986565837,NA,0.066810834148997,0.146741703061248,0.0263472584637444,0.147218820547393,0.130810573800201,0.142147023139107,0.0808935338810868,0.126341241665619,0.089174763180271,0.0449302293648652,0.261335344764838,0.0674436694510237,0.0634864557058914,0.049429021975364,0.0383354022159375,0.145934995222692,0.057955844880478,0.193923262317022,0.228145493718819
"BIDMC_Slide10",0.1503370792618,0.173226993545061,0.0620516882137019,0.163951652858734,0.0831246724869477,0.0736838486911616,0.0990407874761652,0.109245575142202,0.0577699239233813,0.192011364452728,0.141581658073121,0.152528316245499,0.10007849481367,0.119072524457594,0.0942035080731191,0.0868227100536551,0.205635354624697,0.118855202847051,0.119817866610017,0.109087463207859,0.143835882447704,0.226276720508763,0.119884402917116,0.264395514984361,0.265801586789176
"BIDMC_Slide11",0.175484423478935,0.150466044275361,0.162091666297696,0.139868817942124,0.133162535292153,0.686558419824661,0.122875605769365,0.146365426908118,0.0952323329791439,0.207043384296615,0.14046753676483,0.152935407145068,0.0948734498288225,0.186540579814971,0.337458089338846,0.103910292008613,0.142832833056844,0.0912123322774907,0.12755704599883,0.107845594258604,0.152945131850182,0.140343060700615,0.0974572335718677,0.163516147659512,0.241702625013757
"BIDMC_Slide12",0.113914827923295,0.199944429501631,0.0958584198350488,0.283170217600321,0.108429618275761,0.06916479224739,0.127826754996531,0.104688216173535,0.105402441515788,0.237207054887598,0.131098486224222,0.157725867780013,0.170961661667136,0.122346188855226,0.159529778138328,0.183802304345295,0.142686867553215,0.167492979984382,0.152143597809702,0.146516831527938,0.212326840508122,0.190106824582691,0.184140617082651,0.130659327570494,0.272691591427652
"BIDMC_Slide13",0.0938727357649033,0.110624656262707,0.0547691726613371,NA,0.057590567628319,0.0286472370110344,0.0571665154899428,0.0672761630872461,0.0291037858174083,0.152320243168328,0.0958024608206301,0.117301941952572,0.0601808609932215,0.0624019303206615,0.0188136676643741,0.0510407566216737,0.150865152196995,0.0729586424519864,0.0310038925140919,0.0719961156079172,0.0341408680920337,0.122547364329752,0.0531928951387616,0.166104260151838,0.247516083588683
"BIDMC_Slide14",0.123635996628134,0.151192553852962,0.0500391109867729,0.141851996888353,0.063674886044113,0.0335652823842888,0.0756092755373094,0.077237189209071,0.0419898865490897,0.159798044797303,0.114981185958835,0.125649652837346,0.0849493090281472,0.092888594075322,0.0360495426850693,0.0588361309637126,0.167621700156471,0.10077937383565,0.0767344389755739,0.0896819258481022,0.112999387625209,0.172996306861907,0.106706831511315,0.233342121006681,0.23870364048146
"BIDMC_Slide15",0.0971793059716,0.129894397455981,0.0742339989773401,0.121071044680338,0.0773645153086114,0.0353370500679254,0.0927133647359205,0.0713762000518895,0.0525211371070963,0.169079998314281,0.103064472160568,0.127322003029411,0.0805830960443706,0.098139403489087,0.040647139908604,0.0649775632273004,0.11511486545009,0.0785901406884652,0.0566807441056994,0.0830018005185368,0.109981128664888,0.105705442783872,0.0821384544467061,0.133550134848772,0.22076023101541
"BIDMC_Slide16",0.0778158128609852,0.165134021209781,0.0658450147780983,0.229524766089056,0.0682772541324577,0.0330720110208298,0.0981570305377656,0.0761439000639039,0.0677586903464228,0.186094767753365,0.0841388094917884,0.125157095003325,0.12172194344195,0.0846940296628302,0.0736890814211342,0.0919916690738366,0.109818819832427,0.112683480046569,0.0937262776044643,0.0895768794780781,0.137767205529186,0.135828413215867,0.122650007547679,0.102598028071643,0.219236199475994
"BIDMC_Slide17",0.103183035844103,0.112964861370328,0.0665780773678421,NA,0.0696533372891606,0.0566416340089977,0.0714707620751938,0.0827525311173573,0.034926951181246,0.141488580445536,0.114068140903628,0.124006953143536,0.0815927255505604,0.0792427246799001,0.0262175826321999,0.0535691075633536,0.172911277550158,0.0633360070105121,0.037310987513004,0.0719709333319381,0.0374118287767147,0.138189720772286,0.0616431305516425,0.182894621550001,0.294969722242189
"BIDMC_Slide18",0.135944024403622,0.148969664380282,0.0731254967331458,0.118129147531746,0.0963857586597762,0.0799803203476491,0.100978046373729,0.103311579127918,0.07174972089114,0.150301350889385,0.147339626662918,0.134756362795433,0.103849192290156,0.138166576494367,0.0699009391871083,0.0739857845849347,0.199797421453635,0.106406699503262,0.0802856297377166,0.0972876433535489,0.0931368191700785,0.184275632745889,0.100551792727481,0.219021508365208,0.288772105727868
