Marker,mean_SNR
CD3e,0.026147407768454006
CD45RO,0.02135923293115598
CD4,0.020996994810551402
HLAABC,0.01987900673750771
CD8a,0.01776182425279821
PDL1,0.014848261837373557
Vimentin,0.01228228539187703
CD163,0.011698234714819875
PD1,0.010569191868550798
CD31,0.009952617944360347
CD68,0.009414547399634505
SMA,0.008776767990392306
