"Staining_condition","CD11c","CD20","CD3","CD45","CD68","CD8","FoxP3","H3K27ac","H3K27me3","ToxTox2","HLADRA","Ki67","PD1","PAX5","NAKATP","GranzymeB","IDO1"
"StorageConditionsExpt_1",0.435424143600236,0.603521021638955,0.518917178385252,0.70938627735238,0.427684797340828,0.34667308654097,0.644426424201808,0.74080595453586,0.728735512749437,0.668924052943966,0.633983066082945,0.417659345647992,0.456459374195331,0.643872627062207,0.706737152546498,0.473239779635188,0.475031623366187
"StorageConditionsExpt_2",0.460950404596468,0.631054403025239,0.577993307901899,0.755742571295263,0.42888937131212,0.348716287546078,0.617845843498854,0.756719277591322,0.740141764278698,0.66289034297982,0.666156039022352,0.451809504525546,0.50436223048697,0.65257388470463,0.717410955804956,0.463274149288531,0.421713844730332
"StorageConditionsExpt_3",0.497981319136427,0.67136486975024,0.594726489089798,0.760541591253634,0.453054323647498,0.359731235358776,0.685074200360143,0.771920656220297,0.739488110977415,0.671461322386437,0.675457148796738,0.463866595045974,0.53631671820343,0.704451542652116,0.782643305705691,0.513951695204971,0.469798404486554
"StorageConditionsExpt_4",0.516846355372456,0.68169991236647,0.579796197114393,0.7364078072741,0.445936268257156,0.348534515068101,0.681002905232275,0.752837375284036,0.726408651923001,0.692254399682111,0.680520852263645,0.485148533185979,0.549718429199586,0.703705387954579,0.776695037400687,0.509326858000711,0.466296018680964
