"Staining_condition","CD3","CD45","CD8","CD20","ToxTox2","H3K27me3","CD11c","HLADRA","Ki67","CD68","PD1","FoxP3","H3K27ac","PAX5","NAKATP","GranzymeB","IDO1"
"StorageConditionsExpt_1",0.391137674278497,0.205038433156759,0.630670277106245,0.329175574737275,0.201508987095546,0.172281209864539,0.463534924837551,0.270290681772421,0.652145744512116,0.264752511137347,0.425847203791154,0.1513435949059,0.156541554682214,0.288534710881365,0.149285160871411,0.221266169661217,0.206600106081325
"StorageConditionsExpt_2",0.337385259227206,0.193053546074404,0.625352896364998,0.308553536402428,0.19789579056351,0.163776993810303,0.433992113467233,0.253605009303278,0.57591399262339,0.260145965699186,0.3564013669332,0.155064799335296,0.156260748160366,0.283057462739012,0.14814744562988,0.22644506168968,0.23885296225417
"StorageConditionsExpt_3",0.340092896711002,0.188352582238521,0.614041744933106,0.287614323676463,0.194338695813706,0.164155866860342,0.3783146394847,0.244316638461109,0.5370402895004,0.232716042837283,0.314264223031706,0.129368342719529,0.143652180828162,0.243404292448872,0.128743031887728,0.18396295193248,0.209581894454763
"StorageConditionsExpt_4",0.314364996623311,0.194731954673505,0.569075144039808,0.281703405938482,0.179852183554969,0.173631418901959,0.342139176988153,0.230988943342935,0.49602607105458,0.235309667339475,0.317784628929424,0.132921053469992,0.149472589816875,0.251936237612436,0.136092632445014,0.173703897561083,0.206800489044157
