"Staining_condition","CD20","CD3","CD4","CD45","CD68","CD8","CD34","Iba1","Ki67","S100b","CK","Vimentin"
"Roche_Tonsil_Citra_20min",0.653622931660198,0.532429903293904,0.467426263187359,0.725517287935853,0.384210606671497,0.591494058914326,0.261119413585603,0.348667285395509,0.704004602420626,0.696453935658976,0.713809467113572,0.668454983143897
"Roche_Tonsil_Tris_10min",0.757425362796064,0.656004208727743,0.760803655524158,0.852548244434749,0.697553529577101,0.840688812475915,0.629614946960121,0.658581911072701,0.850434455124067,0.809098378524515,0.79654404870745,0.824112711233745
"Roche_Tonsil_Tris_20min",0.792609059110989,0.698006173485174,0.803590960586852,0.875810801463867,0.696739821372544,0.843816055146667,0.668816711459085,0.733430979119651,0.824328464165776,0.715008752984859,0.71574283460952,0.801385237366163
"Roche_Tonsil_Tris_40min",0.811311795291643,0.730844679122778,0.875159628233512,0.898706834244209,0.704062604974809,0.850004966246827,0.723374961958497,0.844707934604149,0.82584816798132,0.705483951369357,0.817156039049882,0.879524445544132
