"Staining_condition","CD11c","CD15","CD20","CD3","CD31","CD4","CD45RA","CD68","PanCK","aSMA","CD45RO","CD14","CD209","CD16","CD163","pS6","CD11b","PDL1","PD1","pSTAT3","pMK2","CD8a","GRZB","Ki67","Collagen1","CD44","CD66a","HLADR","SOX9","TenascinC","Podoplanin"
"Stanford_Tonsil_1",0.664124334725455,0.442822111731279,0.749557230709369,0.748685758655281,0.462600756316828,0.756891238919957,0.618103035277542,0.669260466700729,0.546888580858008,0.340118848599678,0.498034149284266,0.763522648166929,0.591679974190197,0.569690759239106,0.579265422355286,0.506533494905057,0.665604607947516,0.564760687051021,0.618084154465036,0.657774169624517,0.429126810055656,0.703929832498926,0.657863822439703,0.57057823314698,0.621572890450169,0.764739973573353,0.46450052934114,0.566033244508834,0.505990074533782,0.636966606146634,0.75368080625892
"Stanford_Tonsil_2",0.73642598857212,0.478899907015017,0.814386295868862,0.708409826782332,0.533522493430885,0.707145730823732,0.681507948918131,0.625336200368056,0.695278158534461,0.401450950140148,0.533920740501505,0.811010028593746,0.637144724034239,0.668758219246042,0.635048079613968,0.696352221318046,0.741531159080436,0.647167717344986,0.693460961142786,0.711374555442922,0.622561765082554,0.714716192623789,0.755653984707029,0.636747696671354,0.598653617826036,0.770923473936668,0.565095145001986,0.634914560486295,0.626180820038061,0.643357602583344,0.825877100157158
"Stanford_Tonsil_24",0.560046453358812,0.374145281575972,0.62176853892178,0.677327381584216,0.403011989724823,NA,0.661329309755748,0.488738512165124,0.490688970048752,0.346120072626443,0.395268469767145,0.68294289028836,NA,NA,0.513255224256984,0.377905219543693,0.591238655013469,0.503057423513923,NA,NA,NA,0.652291296442558,0.483404177268384,0.341663737042103,0.495330102305304,0.707556776375889,0.376360771687287,0.405743645953547,NA,NA,0.642063843976175
"Stanford_Tonsil_3",0.643730589552189,0.445187140700397,0.749365275406409,0.734297240639022,0.485420930387675,0.718042666790028,0.684979963375054,0.681348470122159,0.517414871178981,0.490953210701027,0.630523865724766,0.77060167502584,NA,NA,0.609794110457257,0.564906495615386,0.691569592393101,0.578323805340346,NA,NA,NA,0.716615177414258,0.6690097993587,0.54186730105546,0.640717625212676,0.749656630493195,0.48659924750727,0.554161232532363,0.548580288997243,NA,0.748191760527894
