"Staining_condition","CD11c","CD20","CD31","CD4","CD45","CD68","CD8","Granzyme B","Vimentin","aSMA","PD1","Mast Cell Tryptase","Ki67","IDO","ICOS","HLADR","HLA1 ABC","FOXP3","CD14","CD3e","Calprotein"
"Stanford_MIBI_Slide2",0.793373565791401,0.912336493230399,0.881406693074743,0.920895397793601,0.95636662862302,0.867004937199734,0.813358367294642,0.697771072665643,0.927824752276066,0.895273436070632,0.804171007721158,0.865785408091582,0.906347906307375,0.914037149132948,0.939189473865138,0.870954698695984,0.908811730050407,0.843763988656456,0.859103449270459,0.903191308854044,0.662495661134331
"Stanford_MIBI_Slide3",0.810703007748679,0.915818782974076,0.891296903036942,0.921067492576176,0.956333000601234,0.895801688200052,0.846958092870318,0.730737380556229,0.93257361278381,0.899248592807471,0.826016401864443,0.889862424475053,0.906612692991762,0.93725229030175,0.92593274343346,0.884221207392961,0.912166512952482,0.879291100420045,0.880191449953728,0.919579415860885,0.689285276329636
"Stanford_MIBI_Slide4",0.824285820321044,0.932019110926294,0.890243543182622,0.913231717995615,0.97094885011392,0.879536454827898,0.827910137929472,0.685071775388724,0.956822814247736,0.904708729210329,0.806808688720357,0.907152794919068,0.912247594494503,0.931501525104204,0.934562949079464,0.916333059487826,0.948233664702806,0.830410790125141,0.924188898715309,0.909872841846304,0.674439549849159
"Stanford_MIBI_Slide5",0.749969377077513,0.928051948708729,0.863755539941641,0.888363422941933,0.960652819343682,0.838051059583886,0.705485691972957,0.523566686115708,0.947372231533748,0.877073394683761,0.708302660818585,0.865614726190155,0.901966017865616,0.917346573455906,0.892530499527577,0.868248232474848,0.939395854104034,NA,0.871570064640478,0.849028153500368,0.563747135036464
