"Staining_condition","Total_Markers","Working_Markers","Excluded_Markers","NonWorking_Markers","Total_Score","Average_Score","Average_Rank","Penalty_Count"
"Stanford_MIBI_Slide3",21,21,0,0,33,1.57142857142857,1.57142857142857,0
"Stanford_MIBI_Slide4",21,21,0,0,39,1.85714285714286,1.85714285714286,0
"Stanford_MIBI_Slide2",21,21,0,0,64,3.04761904761905,3.04761904761905,0
"Stanford_MIBI_Slide5",21,20,1,0,80,3.80952380952381,3.5,1
